nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Libertine;Setting foot over the threshold of Libertine can overwhelm as;1;Erpe;Belgium;50.9408064;3.9900792;Dominique Tondeurs;French
Lettres Gourmandes;This stylish establishment is the haunt of seasoned chef, Christophe;1;Montignies-Saint-Christophe;Belgium;50.2854392;4.1833145;Christophe Lambert;Creative French
Le Pré des Oréades;A 19C villa, set on a small hillside two minutes;1;Spa;Belgium;50.4805268;5.8513194;Nicolas Bodart;Classic French
Le Pigeon Noir;The house has a modest appearance, along the lines of;1;Uccle;Belgium;50.7920083;4.3482107;Henri De Mol;Country cooking
Le Gastronome;Jean Vrijdaghs and Sébastien Hankard have added a youthful buzz;1;Paliseul;Belgium;49.8953387;5.1178395;Jean Vrijdaghs;Contemporary
Le Coq aux Champs;Christophe Pauly is a genuine craftsman! Poised between precision and;1;Soheit-Tinlot;Belgium;50.4714671;5.3876393;Christophe Pauly;Creative French
Le Comptoir de Marie;Take a seat at the black counter and admire the;1;Mons;Belgium;50.4545069;3.951299;Maxence Paris;Spanish
La Truffe Noire;The purple colour scheme of this restaurant, rich in nostalgic;1;Brussels;Belgium;50.8162711;4.3766633;Erik Lindelauf;Italian
La Canne en Ville;La Canne en Ville sports an urban charm, where souvenirs;1;Ixelles;Belgium;50.8204237;4.3561099;Kevin Lejeune;Market Cuisine
La Belle;This former farmstead is truly worthy of its name, from;1;Geel;Belgium;51.1630964;5.0637505;Peter Vangenechten;Creative French
L.E.S.S.;L. E. S. S makes gastronomy accessible to all. Pull;1;Brugge;Belgium;51.2047697;3.2185412;Ruige Vermeire;Asian Influences
L'impératif;This Impératif is eminently stylish. Chef Neusy greets guests in;1;Roucourt;Belgium;50.5248015;3.5735123;Benoît Neusy;Seafood
Kelderman;Ring the doorbell of this imposing villa, set in a;1;Aalst;Belgium;50.929784;4.0406609;Peter Aesaert;Traditional Cuisine
Kamo;A slice of Tokyo in Ixelles: the classics of Japanese;1;Ixelles;Belgium;50.8193121;4.361522;Tomoyasu Kamo;Japanese
Héliport Brasserie;This small castle combines the best of old and new;1;Liège;Belgium;50.5789946;5.5961592;Frédéric Salpetier;Creative French
Horseele;The stars of Gent’s football club are both on;1;Gent;Belgium;51.0159848;3.7321944;Danny Horseele;Creative French
Hofke van Bazel;It is difficult not to be won over by the;1;Bazel;Belgium;51.1471664;4.3002815;Kris De Roy;Market Cuisine
EssenCiel;EssenCiel caters to a clientele of young urbanites. The Scandinavian;1;Leuven;Belgium;50.8766793;4.7004942;Niels Brants;French Contemporary
Dôme;The memory of a meal beneath the dome of this;1;Antwerpen;Belgium;51.2061996;4.4264854;Frédéric Chabbert;Classic French
Da Mimmo;As soon as you venture over the threshold of this;1;Woluwe-Saint-Lambert;Belgium;50.8435331;4.418125;Gerardo Metta;Italian
