nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Shang-High Cuisine;The dining room is furnished in a modern Chinese style;1;Shanghai;China Mainland;31.23491;121.480586;;Shanghainese
Seventh Son;The Hong Kong based chain opened this comfortable, traditionally decorated;1;Shanghai;China Mainland;31.219598;121.460072;;Cantonese
Seventh Son;This outpost of the Hong Kong group is conveniently located;1;Beijing;China Mainland;39.910984;116.452361;;Cantonese
Rêver;With stunning river views and a calming ambience, Rêver lives;1;Guangzhou;China Mainland;23.109474;113.331346;;French Contemporary
Ren He Guan (Zhaojiabang Road);Dim yellow lights, a nostalgic décor, 1930s memorabilia, golden oldies;1;Shanghai;China Mainland;31.203604;121.453734;;Shanghainese
Poetry?Wine (Dongsanhuan Middle Road);The bamboo bush, jade ornaments, ink paintings and cut flowers;1;Beijing;China Mainland;39.897639;116.454715;;Beijing Cuisine
Phénix;In 2021, the French chef who took the helm brought;1;Shanghai;China Mainland;31.223997;121.44368;;French
Oriental Sense & Palate;A historic European mansion is home to this three-storey;1;Shanghai;China Mainland;31.216671;121.464255;;Chao Zhou
Opera Bombana;Umberto Bombana stunned the world with his 8 1/2;1;Beijing;China Mainland;39.919746;116.44863;;Italian
Obscura;Its chiaroscuro ring logo connotes completeness and the complementary relationship;1;Shanghai;China Mainland;31.236348;121.442233;;Innovative
Moose (Pudong);There are two branches of Moose in Shanghai and both;1;Shanghai;China Mainland;31.230604;121.51517;;Huaiyang
Moose (Changning);While antique furniture and oil paintings complement the refurbished century;1;Shanghai;China Mainland;31.20189;121.4297;;Huaiyang
Mio;Despite its discreet entrance, this lavishly ornate dining room will;1;Beijing;China Mainland;39.95071;116.4672;;Italian
Ming Court;Weary travellers will find this airy dining room near Hongqiao;1;Shanghai;China Mainland;31.19512;121.31633;;Cantonese
Mi Xun Teahouse;Nestled in a quiet hotel next to Daci Temple, this;1;Chengdu;China Mainland;30.654727;104.081984;;Vegetarian
Meet the Bund;Brass ceiling panels and chandeliers lends a touch of nostalgic;1;Shanghai;China Mainland;31.228818;121.493593;;Fujian
Ma's Kitchen;This hugely popular shop in the bustling Taikoo Li area;1;Chengdu;China Mainland;30.653874;104.081227;;Sichuan
Lu Style (Anding Road);Instead of typical Shandong classics, this native chef from the;1;Beijing;China Mainland;39.977857;116.398637;;Shandong
Lingnan House;Since October 2019, diners have been flocking here for Chef;1;Guangzhou;China Mainland;23.119891;113.320629;;Cantonese
Ling Long;The dining room feels airy, minimal and fresh, with just;1;Beijing;China Mainland;39.931781;116.454401;;Innovative
Lei Garden (Yuexiu);This may be an outpost of the Hong Kong-based;1;Guangzhou;China Mainland;23.136923;113.279568;;Cantonese
Lei Garden (Xuhui);The chain may be spreading rapidly in Asia but quality;1;Shanghai;China Mainland;31.218122;121.454124;;Cantonese
Lei Garden (Pudong);Reservations are a must as this branch of the chain;1;Shanghai;China Mainland;31.238373;121.49761;;Cantonese
Sheng Yong Xing;The Beijing brand famous for Peking duck chose this prestigious;1;Shanghai;China Mainland;31.236447;121.486181;;Beijing Cuisine
Lei Garden (Jinbao Tower);Lei Garden hails from Hong Kong and specialises in traditional;1;Beijing;China Mainland;39.9109245;116.4133837;;Cantonese
Sheng Yong Xing (Chaoyang);This east-meets-west décor melds Jiangnan motifs and furniture;1;Beijing;China Mainland;39.939223;116.443748;;Beijing Cuisine
Sir Elly's;The French chef is well-versed in European classics that;1;Shanghai;China Mainland;31.235736;121.450915;;European Contemporary
Yu Zhi Lan;There’s no sign at this discreet restaurant, but a;1;Shanghai;China Mainland;31.218916;121.449455;;Sichuan
Yu Yue Heen;Helmed by Chef Mai who boasts over 30 years of;1;Guangzhou;China Mainland;23.119916;113.317995;;Cantonese
YongFoo Élite;The building dates from 1930 and was the British Consulate;1;Shanghai;China Mainland;31.211227;121.43842;;Shanghainese
Yong Yi Ting;It may be located beneath a hotel but this tastefully;1;Shanghai;China Mainland;31.245216;121.50343;;Shanghainese
Yong Fu;Shanghainese are no strangers to Ningbo cuisine and can be;1;Shanghai;China Mainland;31.220526;121.46027;;Ningbo
Yi Long Court;Though styled after the golden era of old Shanghai circa;1;Shanghai;China Mainland;31.243758;121.507579;;Cantonese
Xu's Cuisine;This was the first restaurant of the chain and has;1;Chengdu;China Mainland;30.639715;104.086383;;Sichuan
Xin Rong Ji (West Nanjing Road);Among the four branches in Shanghai, this location and the;1;Shanghai;China Mainland;31.23138;121.46432;;Taizhou
Xin Rong Ji (Jinrong Street);This is the first Beijing branch of the Taizhou brand;1;Beijing;China Mainland;39.917499;116.353313;;Taizhou
Xin Rong Ji (Jianguomenwai Street);Having started life as a small shop selling seafood dishes;1;Beijing;China Mainland;39.906171;116.453263;;Taizhou
Wisca (Haizhu);The chain started life as a stall and opened this;1;Guangzhou;China Mainland;23.110752;113.254258;;Cantonese
Vege Wonder;If you crave taro fish or chicken nuggets made with;1;Beijing;China Mainland;39.911324;116.402415;;Vegetarian
The Tasty House;Nestled in Jing Yard, a tree-lined entertainment and dining;1;Beijing;China Mainland;39.930362;116.452431;;Jiangzhe
The Georg;Tucked in a restored riverside quadrangle house, Georg Jensen’s;1;Beijing;China Mainland;39.934451;116.39889;;European Contemporary
Tea Culture (East Beijing Road);You can tell from its name that the restaurant is;1;Shanghai;China Mainland;31.22318;121.464502;;Huaiyang
T'ang Court;The dining room with six smartly dressed tables may seem;1;Shanghai;China Mainland;31.208949;121.445604;;Cantonese
