nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Gaon;Rooted in the time-tested wisdom of traditional Korean cuisine;3;SEOUL;South Korea;37.52265;127.03595;Byeong-jin KIM;Korean
Soseoul Hannam;Inspired by local culinary traditions but dedicated to expressing the;1;SEOUL;South Korea;37.53491;127.00849;;Korean
Zero Complex;Increasingly assertive and self-assured, the evolution of Zero Complex;1;SEOUL;South Korea;37.55693;126.9781;Chung-hoo LEE;Innovative
Terreno;At Terreno, authentic Spanish cuisine is juxtaposed against the chef;1;SEOUL;South Korea;37.58313;126.9847;Seung-hwan SHIN;Spanish
Table for Four;"This ""Table"" uses a wide range of seasonal ingredients infused";1;SEOUL;South Korea;37.49769;126.99442;Seong-woon KIM;Contemporary
Sushi Sanghyeon;This is the eponymous restaurant of Chef Im Sang-hyeon;1;SEOUL;South Korea;37.52187;127.04254;Sang-hyeon Lim;Sushi
Soigné;Meaning “well-groomed” in French, Soigné lives up to its;1;SEOUL;South Korea;37.49816;127.002;Joon LEE;Innovative
PIERRE GAGNAIRE;Internationally celebrated French Chef Pierre Gagnaire opened his eponymous contemporary;1;SEOUL;South Korea;37.56529;126.98103;Frederic Eyrier;French
Onjium;The elegant stonewalled-path of Gyeongbokgung Palace and a modern;1;SEOUL;South Korea;37.58048;126.97345;Sung-bae PARK;Korean
Myomi;Myomi’s second act, set in a gorgeous space with;1;SEOUL;South Korea;37.57761;126.98845;Jung-mook KIM;Contemporary
Muoki;South African dialect for oak tree, Muoki is Chef Park;1;SEOUL;South Korea;37.51896;127.04222;Moo-hyun PARK;Contemporary
Muni;Tucked away in a back alley of glitzy Cheongdam-dong;1;SEOUL;South Korea;37.52291;127.04545;Dong-wook KIM;Japanese
Mitou;From the simple elegant interior to the refined details that;1;SEOUL;South Korea;37.51993;127.02682;Young-woon KWON;Japanese
L'Amitié;Since 2006, Chef Jang Myoung-sik has welcomed diners with;1;SEOUL;South Korea;37.52591;127.04455;Myeong-sik JANG;French
L'Amant Secret;Located on the 26th floor of L'Escape Hotel, L;1;SEOUL;South Korea;37.55983;126.97949;Jong-won SON;Contemporary
Kojacha;Kojacha — Korean (“Ko”) chefs’ Japanese (“ja”) and Chinese (“cha”) cuisine;1;SEOUL;South Korea;37.52083;127.05519;Yoo-kang Choi;Asian
HANE;When it comes to gastronomy, savoring the freshest natural ingredients;1;SEOUL;South Korea;37.5275808;127.0348773;Ju-yong CHOI;Sushi
Goryori Ken;This intimate setting, with the main bar seating only eight;1;SEOUL;South Korea;37.52298;127.03478;Geon Kim;Contemporary
Exquisine;Chef Jang Kyung-won at Exquisine has a knack for;1;SEOUL;South Korea;37.52099;127.04965;Kyeong-won JANG;Contemporary
Evett;After years of traveling, researching and cooking, Australian native Joseph;1;SEOUL;South Korea;37.49439;127.03868;Joseph Lidgerwood;Innovative
Bicena;Towering above Seoul on the 81st floor of the Signiel;1;SEOUL;South Korea;37.5126;127.10253;Kwang-sik JEON;Korean
7th Door;Chef Kim Dae-chun’s cooking continues to diversify and;1;SEOUL;South Korea;37.52237;127.05429;Dae Chun KIM;Contemporary
alla Prima;Chef Kim Jin-hyuk continues to attract discerning gourmets with;2;SEOUL;South Korea;37.51346;127.02602;Jin-hyuk KIM;Innovative
Mosu;When Chef Sung Anh moved his Mosu San Francisco to;2;SEOUL;South Korea;37.53644;126.99935;Sung ANH;Innovative
Mingles;Chef Kang Min-goo's keen eye for detail shines;2;SEOUL;South Korea;37.52533;127.04414;Min-goo KANG;Contemporary
Kwonsooksoo;Chef Kwon Woo-joong’s homage to tradition is evident;2;SEOUL;South Korea;37.52437;127.04355;Woo-joong KWON;Korean
Kojima;The serene and reposeful space in Kojima allows patrons to;2;SEOUL;South Korea;37.52559;127.04193;Kyung-jae PARK;Sushi
Jungsik;Touted as a pioneer of modern Korean fine dining, Chef;2;SEOUL;South Korea;37.525584;127.041069;Jung Sik Yim;Contemporary
Joo Ok;The name of the restaurant Joo Ok embodies the simple;2;SEOUL;South Korea;37.56462;126.97806;Chang-ho SHIN;Korean
La Yeon;Time-honored traditions of Korean cuisine are given a contemporary;3;SEOUL;South Korea;37.555813;127.00517;Seong-il KIM;Korean
Sushi Matsumoto;Chef Matsumoto Mizuho is renowned for replicating authenticity in local;1;SEOUL;South Korea;37.5245762;127.0460076;;Sushi
YUN;* Due to the circumstances of the restaurant, the restaurant;1;SEOUL;South Korea;37.5549921;126.9241235;;Korean
