nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Guy Lassausaie;The chefís great - grandfather created this restaurant in 1906;1;Chasselay;France;45.87267;4.77066;Guy Lassausaie;Modern Cuisine
Virtus;Stripped back cuisine on a constant quest for new flavours;1;Paris;France;48.8501479;2.3780547;FrÈdÈric Lorimier;Modern Cuisine
Saisons;A team of two pros is at the helm at;1;Marseille;France;43.2865397;5.3827724;Julien Diaz;Modern Cuisine
Aspic;This bistro is everything a bistro should be. It has;1;Paris;France;48.8791753;2.3436245;Quentin Giroud;Modern Cuisine
Apicius;Apicius is located in a sumptuous 18C private mansion that;1;Paris;France;48.8732881;2.3072835;Mathieu Pacaud;Modern Cuisine
Apicius;In the heart of the city, upstairs at the Saint;1;Clermont-Ferrand;France;45.7794304;3.0827294;Arkadiusz Zuchmanski;Modern Cuisine
Saisons;The seasons take pride of place in this 19C ch‚teau;1;…cully;France;45.7770468;4.7668974;Florian Pansin;Modern Cuisine
Grand HÙtel du Lion d'Or;This traditional cuisine has proved itself many times over, and;1;Romorantin-Lanthenay;France;47.3602993;1.7438252;Didier ClÈment;Modern Cuisine
Ambroisie;Large bay windows looking out onto the lake, an intimate;1;Saint-Didier-de-la-Tour;France;45.560381;5.4875038;AndrÈ Taormina;Modern Cuisine
Yannick AllÈno ‡ líHÙtel Hermitage Monte-Carlo;Inside the Hermitage Hotel in Monte Carlo is a legendary;1;Monaco;France;43.7384624;7.4258682;;Modern Cuisine
Roscanvec;This restaurant is now set in the splendid, fully refurbished;1;Vannes;France;47.6572181;-2.7579707;Thierry Seychelles;Modern Cuisine
1912 - Les Cures Marines;Abutting the casino, the former spa facilities have been resuscitated;1;Trouville-sur-Mer;France;49.3662411;0.0776574;;Modern Cuisine
1741;This town house, built under the First Empire, faces the;1;Strasbourg;France;48.5806;7.7535777;;Modern Cuisine
114, Faubourg;This chic brasserie within the premises of Le Bristol has;1;Paris;France;48.8717748;2.3142125;LoÔc Dantec;Modern Cuisine
1131 - Abbaye de la BussiËre;The exceptional setting of a former abbey is now the;1;La BussiËre-sur-Ouche;France;47.2157221;4.7241758;;Modern Cuisine
¿ Contre Sens;In its elegant dining room at no 10, whose decor;1;Caen;France;49.1844865;-0.3655578;Anthony Caillot;Modern Cuisine
ƒponem - Auberge du PresbytËre;AmÈlie Darvas and Gaby Benicio are happily installed in this;1;Vailhan;France;43.5544377;3.2988056;AmÈlie Darvas;Modern Cuisine
Hostellerie de Levernois;Fine cuisine inspired by culinary classics, served in a modern;1;Levernois;France;46.9926504;4.8783198;Philippe AugÈ;Modern Cuisine
