nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
8 1/2 Otto e Mezzo - Bombana;Owner-chef Umberto Bombana’s restaurant oozes Italian charm and;3;Hong Kong;Hong Kong;22.2814635;114.15867;Umberto BOMBANA;Italian
Caprice;One of the most glamorous and elegant restaurants in Hong;3;Hong Kong;Hong Kong;22.2866489;114.1566097;Guillaume GALLIOT;French Contemporary
Forum;The iconic dish here, Ah Yat braised abalone, has become;3;Hong Kong;Hong Kong;22.2813972;114.1821905;Lung To WONG;Cantonese
Lung King Heen;For many, the roast Peking duck alone is reason enough;3;Hong Kong;Hong Kong;22.2860122;114.1580538;Yan Tak CHAN;Cantonese
Sushi Shikon;The famous sushi-ya moved to this prestigious address in;3;Hong Kong;Hong Kong;22.2806103;114.1577893;Yoshiharu KAKINUMA;Sushi
T'ang Court;It’s easy to see why this restaurant remains so;3;Hong Kong;Hong Kong;22.296572;114.1698;Wai Keung KWONG;Cantonese
Amber;There has been a radical revamp at this restaurant helmed;2;Hong Kong;Hong Kong;22.2805311;114.1577065;Richard EKKEBUS;French Contemporary
Arbor;Calming Mediterranean colours make this place something of an oasis;2;Hong Kong;Hong Kong;22.283146;114.15542;Eric RÄTY;Innovative
Bo Innovation;Alvin Leung celebrates Hong Kong’s culture, traditions and people;2;Hong Kong;Hong Kong;22.2763009;114.1710473;Alvin LEUNG;Innovative
L'Envol;Managed by Chef Olivier Elzer, L’Envol is elegantly furnished;2;Hong Kong;Hong Kong;22.2799005;114.1761315;Olivier ELZER;French Contemporary
Octavium;The chic, minimalistic dining room is a befitting lead-in;2;Hong Kong;Hong Kong;22.2825493;114.1571177;Umberto BOMBANA;Italian
Sun Tung Lok;Synonymous with top-quality Cantonese cooking, Sun Tung Lok spares;2;Hong Kong;Hong Kong;22.30099;114.17221;Joe, Yung CHAN;Cantonese
Ta Vie;The mantra of chef Hideaki Sato is “pure, simple and;2;Hong Kong;Hong Kong;22.282766;114.15529;Hideaki SATO;Innovative
Tate;Owner-chef Vicky Lau tells edible stories with a six;2;Hong Kong;Hong Kong;22.2855757;114.1477192;Vicky LAU;Innovative
Tin Lung Heen;Aptly named ‘sky dragon pavilion’ in Chinese, this grand restaurant;2;Hong Kong;Hong Kong;22.3032802;114.1598747;Paul, Ping Lui LAU;Cantonese
Yan Toh Heen;The location may be somewhat concealed but it’s well;2;Hong Kong;Hong Kong;22.293337;114.17395;Yiu Fai LAU;Cantonese
Ying Jee Club;Rather than gimmicky promotions, the owner prefers to divert his;2;Hong Kong;Hong Kong;22.284338;114.156654;Hin Chi SIU;Cantonese
Écriture;Plenty of creativity went into the design of this understated;2;Hong Kong;Hong Kong;22.2831268;114.1552862;Maxime GILBERT;French Contemporary
And?;Born in Argentina but having honed his skills in Japan;1;Hong Kong;Hong Kong;22.2817911;114.1553834;Agustin Ferrando BALBI;Innovative
Arcane;Aussie chef Shane Osborn lets diners witness how quality ingredients;1;Hong Kong;Hong Kong;22.2806189;114.1567744;Shane OSBORN;European Contemporary
Beefbar;This branch of the Monte Carlo-based group boasts stylish;1;Hong Kong;Hong Kong;22.2800634;114.1576634;Andrea SPAGONI;Steakhouse
Fu Ho;Thanks to his considerable experience, the head chef has been;1;Hong Kong;Hong Kong;22.3006247;114.1720828;Sam CHENG;Cantonese
Gaddi's;This grand restaurant opened in 1953 and now occupies what;1;Hong Kong;Hong Kong;22.294992;114.17179;Albin GOBIL;French
Louise;Chef Julien Royer, of Odette in Singapore fame, opened this;1;Hong Kong;Hong Kong;22.2834752;114.1522258;Julien ROYER;French Contemporary
Man Ho (Admiralty);After a major makeover in 2019, Man Ho now welcomes;1;Hong Kong;Hong Kong;22.2776712;114.1659424;Jayson, Ka Ho TANG;Cantonese
Mandarin Grill + Bar;This stylish room designed by the late Sir Terence Conran;1;Hong Kong;Hong Kong;22.2821483;114.1593485;Robin ZAVOUS;European Contemporary
Ming Court (Mong Kok);Diners are greeted at the door by the dazzling collection;1;Hong Kong;Hong Kong;22.318314;114.16933;Yuet Faat LI;Cantonese
New Punjab Club;This tandoor grill restaurant serving cuisine from Northern India is;1;Hong Kong;Hong Kong;22.28005;114.15525;Palash MITRA;Indian
Petrus;Heavy drapes at the windows, thick carpets and elegantly laid;1;Hong Kong;Hong Kong;22.27746;114.16434;Uwe OPOCENSKY;French
Roganic;Roganic is the brainchild of British chef Simon Rogan. With;1;Hong Kong;Hong Kong;22.2813924;114.1821991;Oliver MARLOW;European Contemporary
Ryota Kappou Modern;Floor-to-ceiling windows let in natural light and allow;1;Hong Kong;Hong Kong;22.2806182;114.156779;Ryota KANESAWA;Japanese
Rùn;Chef Hung has worked in many 5-star hotel restaurants;1;Hong Kong;Hong Kong;22.2801399;114.175716;Chi Kwong HUNG;Cantonese
