nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Aimsir;Start with a cocktail in the lounge overlooking the garden;2;Celbridge;Ireland;53.2990793;-6.5582175;Jordan Bailey;Modern Cuisine
Chapter One by Mickael Viljanen;In the most exciting development in Dublin’s restaurant scene;2;Dublin City;Ireland;53.354379;-6.2639708;;Modern Cuisine
Aniar;Both the décor and the cooking at this stylish, laid;1;Galway;Ireland;53.2712451;-9.0569977;J.P. McMahon;Modern Cuisine
Bastible;‘Bastible’ is the name of the cast iron pot;1;Dublin City;Ireland;53.3321453;-6.2749102;;Modern Cuisine
Bastion;Set in the very centre of town, Bastion is a;1;Kinsale;Ireland;51.7057106;-8.524084;Paul McDonald;Modern Cuisine
Campagne;This long-standing restaurant is owned and run by experienced;1;Kilkenny;Ireland;52.655984;-7.2460652;Garrett Byrne;Modern Cuisine
Chestnut;Having travelled the world, locally born Rob Krawczyk (son of;1;Ballydehob;Ireland;51.562631;-9.4608167;Rob Krawczyk;Modern Cuisine
Glovers Alley;Set in a prime spot on the second floor of;1;Dublin City;Ireland;53.3392185;-6.2616367;;Modern Cuisine
House;Its décor is unfussy, but this allows the focus to;1;Ardmore;Ireland;51.9485969;-7.7150584;Ian Doyle;Modern Cuisine
Lady Helen;This impressive country house sits on a 1,500 acre;1;Thomastown;Ireland;52.5292434;-7.1878064;John Kelly;Modern Cuisine
The Oak Room;The dining room of the impressive 1830s Adare Manor exhibits;1;Adare;Ireland;52.5636528;-8.7772396;Michael Tweedie;Modern Cuisine
Variety Jones;This tiny restaurant sits sandwiched between other properties and there;1;Dublin City;Ireland;53.3430238;-6.2762931;Keelan Higgs;Modern Cuisine
dede;Turkish-born chef Ahmet Dede has made himself at home;1;Baltimore;Ireland;51.4835036;-9.3725309;Ahmet Dede;Modern Cuisine
Liath;Lockdown gave many people time to pause and reflect and;2;Blackrock;Ireland;53.3013717;-6.1783698;Damien Grey;Creative
Loam;Chef-owner Enda McEvoy was one of the first chefs;1;Galway;Ireland;53.2741434;-9.045005;Enda McEvoy;Creative
Patrick Guilbaud;This iconic Irish restaurant celebrated 40 years in 2021 and;2;Dublin City;Ireland;53.338467;-6.2529387;Guillaume Lebrun;Modern French
Ichigo Ichie;Chef-owner Takashi Miyazaki spent three years tempting the taste;1;Cork;Ireland;51.8980515;-8.4798857;Takashi Miyazaki;Japanese
Wild Honey Inn;This personally run inn set in the heart of The;1;Lisdoonvarna;Ireland;53.0287018;-9.2955931;Aidan McGrath;Classic Cuisine
