nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
1904 Designed by Lagonda;The first restaurant in Switzerland to be designed by the;1;Zurich;Switzerland;47.3754184;8.5368718;;Modern Cuisine
Alpenblick - Stuba;Regional charm coupled with a touch of elegance. In addition;1;Adelboden;Switzerland;46.4936682;7.5608287;;Modern Cuisine
Auberge de la Croix Blanche;It’s difficult to tear yourself away from this perfectly;1;Villarepos;Switzerland;46.8831499;7.0691022;Arno Abächerli;Modern Cuisine
EquiTable;Just as Sankt Meinrad’s parent company deals only in;1;Zurich;Switzerland;47.3778541;8.5212339;Fabian Fuchs;Modern Cuisine
Galleria Arté al Lago;Modern, impeccably presented cuisine with a Mediterranean influence and a;1;Lugano;Switzerland;46.0050531;8.9702949;Frank Oerthle;Modern Cuisine
Jägerhof;The dedicated team here serve seasonally inspired, regional and international;1;Sankt Gallen;Switzerland;47.430792;9.3833953;Agron Lleshi;Modern Cuisine
L'OURS;Franck Reynaud, the chef in this restaurant full of character;1;Crans Montana;Switzerland;46.3075979;7.4598671;Franck Reynaud;Modern Cuisine
La Miranda Gourmet Stübli;This restaurant serves contemporary classic food in a modern elegant;1;Samnaun;Switzerland;46.94362;10.36009;Bernd Fabian;Modern Cuisine
La Rôtisserie;The Rôtisserie is located in a beautiful high room with;1;Zurich;Switzerland;47.3713118;8.5418139;;Modern Cuisine
Le Flacon;An enchanting restaurant where the young chef, only just in;1;Carouge;Switzerland;46.1834139;6.1417842;;Modern Cuisine
PRISMA AT FOCUS;This stylishly designed restaurant with a magnificent view serves modern;1;Vitznau;Switzerland;47.0149878;8.4783699;Philipp Heid;Modern Cuisine
Seerestaurant BelvÃ©dÃ¨re;The view through the panoramic windows onto the lake is;1;Hergiswil;Switzerland;46.9833332;8.3117704;Fabian Inderbitzin;Modern Cuisine
Sommet;The culinary flagship at the Alpina Gstaad, Sommet is special;1;Gstaad;Switzerland;46.4760803;7.2890433;Martin Göschel;Modern Cuisine
Torkel;This historic house is nestled amid the vineyards. It is;1;Vaduz;Switzerland;47.1441186;9.5196627;Ivo Berger;Modern Cuisine
UniQuisine Atelier;It’s almost like dining at a friend’s house;1;Stansstad;Switzerland;46.9757757;8.3419323;;Modern Cuisine
Verve by Sven;This restaurant subscribes to the interesting concept of health-and;1;Bad Ragaz;Switzerland;47.0004645;9.5037451;;Modern Cuisine
dasRestaurant;(Currently limited opening hours due to Covid-19). An;1;Thun;Switzerland;46.744686;7.634247;Dominik Sato;Modern Cuisine
Roots;Chic and modern yet cosy, roots is located on the;1;Basel;Switzerland;47.57006;7.5829306;Pascal Steffen;Modern Cuisine
After Seven;Accessible via a glazed lift, the interior at After Seven;1;Zermatt;Switzerland;46.021962;7.7478621;Florian Neubauer;Creative
Alpenblick;Richard and Yvonne Stöckli have been running this traditional Swiss;1;Wilderswil;Switzerland;46.6638943;7.8601193;Richard Stöckli;Creative
Alpine Gourmet Prato Borni;The inlay work panelling, opulent Maria-Theresia chandeliers and fine;1;Zermatt;Switzerland;46.0198173;7.7462776;Heinz Rufibach;Creative
Damien Germanier;Chef Damien Germanier works with unbridled freedom here, incorporating a;1;Sion;Switzerland;46.232414;7.365789;Damien Germanier;Creative
Denis Martin;Experimental and fun are two words that sum up Denis;1;Vevey;Switzerland;46.4583909;6.8486004;Denis Martin;Creative
Maison Manesse;This restaurant with a trendy, urban vibe offers informal yet;1;Zurich;Switzerland;47.3650965;8.521285;Benjamin Plsek;Creative
Regina Montium;A true gastronomic experience at an altitude of 1 550m;1;Rigi Kaltbad;Switzerland;47.0483709;8.4641542;Benjamin Just;Creative
Rössli - Jägerstübli;Cooking is a vocation for “magician” Stefan Wiesner. His 8;1;Escholzmatt;Switzerland;46.9136165;7.9339973;Stefan Wiesner;Creative
Segreto;What sets the Mediterranean cuisine on offer at Segreto apart;1;Wittenbach;Switzerland;47.450773;9.3964148;Martin Benninger;Creative
Steinhalle;This undisputedly cool restaurant offers a fine old interior complete;1;Berne;Switzerland;46.9429867;7.4487709;Markus Arnold;Creative
Vivanda;Vivanda serves unique cuisine with a focus on local products;1;Brail;Switzerland;46.6539661;10.0336936;Dario Cadonau;Creative
Attisholz - le feu;This 18C inn has long established itself as a top;1;Riedholz;Switzerland;47.2283252;7.575171;Jörg Slaschek;French
Bel Etage;Bel Etage serves classic cuisine in an classic setting. Diners;1;Basel;Switzerland;47.55585;7.58646;Michael Baader;Classic French
Café Berra;Situated in a quiet village overlooking a charming valley, this;1;Monthey;Switzerland;46.2392568;6.9513163;Jean-Yves André;Classic French
Chesa Stüva Colani;The interior of this restaurant is an attractive mix of;1;Madulain;Switzerland;46.586082;9.937879;Paolo Casanova;Italian
Du Cerf;Classic dishes are to the fore in this elegant coaching;1;Sonceboz;Switzerland;47.1962138;7.1784611;Jean-Marc Soldati;Classic French
Gasthaus Zum Gupf;The climb up to 1 083m to reach this restaurant;1;Rehetobel;Switzerland;47.4303814;9.4917067;Walter Klose;Classic French
La Brezza;This terrace surrounded by the lush gardens of the Hotel;1;Ascona;Switzerland;46.1506245;8.7730816;Marco Campanella;Mediterranean Cuisine
La Table d'Adrien;This chic chalet serves delicious and imaginative Italian cuisine in;1;Verbier;Switzerland;46.1035433;7.2246987;Sebastiano LOMBARDI;Contemporary
Le Cigalon;Judging by the fresh fish on the menu, you would;1;Thônex;Switzerland;46.1991216;6.2209024;Jean-Marc Bessire;Seafood
Le Pérolles;Pierrot Ayer is back and this is great news for;1;Fribourg;Switzerland;46.8019356;7.1514413;Pierre-André Ayer;Classic French
Les Saisons;This extremely chic gourmet restaurant belongs to the Grand Hôtel;1;Vevey;Switzerland;46.457754;6.8522042;Thomas Neeser;Classic French
Locanda Barbarossa;Food-lovers and fans of elegant gourmet dining will be;1;Ascona;Switzerland;46.1520401;8.7932891;Mattias Roock;Mediterranean Cuisine
Löwen - Apriori;This is a really lovely restaurant – it is elegant without;1;Bubikon;Switzerland;47.2684502;8.818755;Domenico Miggiano-Köferli;Mediterranean Cuisine
Mammertsberg;This 100-year-old building has been very tastefully restored;1;Freidorf;Switzerland;47.4860811;9.3919806;August Minikus;Classic French
Neue Blumenau;This lovely modern restaurant with its gorgeous terrace, lovingly tended;1;Lömmenschwil;Switzerland;47.4941739;9.3530135;Bernadette Lisibach;Country cooking
Ornellaia;This gem of a restaurant is named after an Italian;1;Zurich;Switzerland;47.3723753;8.5377181;Antonio Colaianni;Italian
Schlüssel;You can taste the skill and passion with which Felix;1;Oberwil;Switzerland;47.5140269;7.5560208;Felix Suter;Mediterranean Cuisine
Sonne;The lovely stylish decor at Sonne extends through the various;1;Wengi bei Büren;Switzerland;47.0886297;7.3756662;Kurt Mösching;French
Table de Mary;Maryline and Loïc Nozahic have run this superbly located restaurant;1;Cheseaux-Noréaz;Switzerland;46.7805014;6.6677225;Maryline Nozahic;Classic French
Talvo by Dalsass;Martin Dalsass doesn’t think much of modern frills and;1;Saint Moritz;Switzerland;46.478305;9.8114484;Martin Dalsass;Mediterranean Cuisine
The Japanese Restaurant;This restaurant oozes authenticity, from the extremely high-quality and;1;Andermatt;Switzerland;46.6363781;8.5947275;Dietmar Sawyere;Japanese Contemporary
Traube;Arno Sgier has been producing light yet flavoursome food made;1;Trimbach;Switzerland;47.3630688;7.8953583;Arno Sgier;Classic French
Truube;A country inn in harmony with its surroundings that serves;1;Gais;Switzerland;47.3661606;9.4606828;Silvia Manser;Country cooking
Wirtshaus Zur Säge;The food on offer at this restaurant is classic fare;1;Flüh;Switzerland;47.4883006;7.4980391;Patrick Zimmermann;Classic French
Zum Äusseren Stand;This restaurant is housed in a building steeped in history;1;Berne;Switzerland;46.9487979;7.4458992;Fabio Toffolon;Contemporary
Zur Gedult;If you fancy a good meal in a relaxed atmosphere;1;Burgdorf;Switzerland;47.0572771;7.6266325;Lukas Kiener;International
the K by mauro colagreco;Unfortunately, this tasteful restaurant in the elegant Kulm Hotel St;1;Saint Moritz;Switzerland;46.4996168;9.8417787;Mauro Colagreco;French
Bayview by Michel Roth;With its chic, carefully designed decor and large bay windows;1;Geneva;Switzerland;46.2142492;6.1518817;Michel Roth;Modern French
Die Rose;This charming restaurant is located in a 400-year-old;1;Rüschlikon;Switzerland;47.3089286;8.5553697;Tobias Buholzer;Modern French
L'Aparté;Located in the Hôtel Royal, with just a handful of;1;Geneva;Switzerland;46.21335;6.145477;Armel BEDOUET;Modern French
L'Etoile - Nova;An intimate and welcoming setting with a decor featuring a;1;Charmey;Switzerland;46.6193521;7.1638795;Alexandra Müller;Modern French
La Chaumière by Serge Labrosse;Serge Labrosse’s restaurant is all the enticement you’ll;1;Troinex;Switzerland;46.1623994;6.1476365;Serge Labrosse;Modern French
La Riva;If you can, choose one of the tables close to;1;Lenzerheide;Switzerland;46.7356712;9.546549;Dominique Schrotter;Modern French
Le MontBlanc;The restaurant’s large semi-circular windows boast 180° views;1;Crans-Montana;Switzerland;46.3153104;7.4631886;Yannick Crepaux;Modern French
Panorama - Cayenne;As if the intensely flavoured, sophisticated food made using top;1;Steffisburg;Switzerland;46.7872121;7.6208457;Rolf Fuchs;Modern French
Gasthaus zum Kreuz;The oldest restaurant in the Engelberg valley, Gasthaus zum Kreuz;1;Dallenwil;Switzerland;46.9318556;8.390924;Damian Fry;Classic Cuisine
L'Ermitage;Cooking is a family affair in this pretty restaurant. The;1;Vufflens-le-Château;Switzerland;46.5277284;6.4694431;Bernard Ravet;Classic Cuisine
Le Murenberg;Le Murenberg offers classic and modern cuisine â€“ fully flavoured and;1;Bubendorf;Switzerland;47.4545219;7.7386967;Denis Schmitt;Classic Cuisine
Schlüssel - Nidbergstube;The Kalberer family have been serving exquisite cuisine here since;1;Mels;Switzerland;47.0463482;9.4185999;Roger Kalberer;Classic Cuisine
Sihlhalde;Gregor Smolinsky’s trademark is unashamedly classic cuisine: uncomplicated, pared;1;Gattikon;Switzerland;47.2916285;8.5476016;Gregor Jun. Smolinsky;Classic Cuisine
Sternen - Badstube;They say it is all in the mix and in;1;Wangen bei Dübendorf;Switzerland;47.4110124;8.6454555;Matthias Brunner;Classic Cuisine
Guarda Val;A 300-year-old former cow byre full of dark;1;Lenzerheide;Switzerland;46.7115885;9.5403887;;Regional Cuisine
GÜTSCH by Markus Neff;High up on the Gütsch, at an altitude of 2;1;Andermatt;Switzerland;46.6559326;8.6275263;;Classic French
IGNIV Zürich by Andreas Caminada;Andreas Caminada’s newest project is located in Hotel Marktgasse;1;Zurich;Switzerland;47.3719489;8.5437311;;Sharing
Neue Taverne;This is the new restaurant of Nenad Mlinarevic (previously in;1;Zurich;Switzerland;47.3721075;8.5403165;;Vegetarian
Osteria TRE;What makes the modern Mediterranean cuisine on offer here so;1;Bubendorf;Switzerland;47.4599385;7.7415822;;Italian
Sushi Shin;On Münsterhof square, this small upmarket yet casual sushi restaurant;1;Zurich;Switzerland;47.3705379;8.5415242;;Japanese Contemporary
The Japanese by The Chedi;A truly outstanding restaurant, thanks to its fantastic panoramic location;1;Andermatt;Switzerland;46.6557369;8.6255457;;Japanese Contemporary
Tosca;You’ll be immediately won over by Tosca’s atmosphere;1;Geneva;Switzerland;46.2027504;6.158218;;Tuscan
Magdalena;The adage here is “raw, rugged and regional”. Harmonious dishes;2;Schwyz;Switzerland;47.0169188;8.6659803;;Modern Cuisine
