nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Mezzaluna;Perched on the 65th floor of the Lebua Hotel, Mezzaluna;2;Bangkok;Thailand;13.722148;100.51691;Ryuki KAWASAKI;French Contemporary
Savelberg;Food and mood pair well at Dutch chef-owner Henk;1;Bangkok;Thailand;13.7126814;100.5484509;;French Contemporary
Saneh Jaan;The story of Thai cuisine continues at this restaurant as;1;Bangkok;Thailand;13.7356075;100.5457421;;Thai
Nahm;Every dish displays Chef Pim’s creativity and attention to;1;Bangkok;Thailand;13.7231647;100.5389536;;Thai
Khao (Ekkamai);Serving meticulously crafted Thai cuisine in a beautiful dining room;1;Bangkok;Thailand;13.7290273;100.58784;;Thai
Jay Fai;Jay Fai has long been a street food icon, and;1;Bangkok;Thailand;13.752571;100.5046981;;Street Food
J'AIME by Jean-Michel Lorain;(Restaurant is temporarily closed due to COVID-19 crisis;1;Bangkok;Thailand;13.718885;100.546326;;French Contemporary
IGNIV;Igniv means “nest” in Romansh, the mother tongue of chef;1;Bangkok;Thailand;13.7400408;100.5402946;;European Contemporary
Ginza Sushi Ichi;Centrally located in the Erawan mall, this sushi restaurant belongs;1;Bangkok;Thailand;13.744069;100.54092;;Sushi
Gaa;Outside traditional, inside contemporary, Gaa’s location mirrors Chef Garima;1;Bangkok;Thailand;13.7272726;100.5781812;;Innovative
Elements;With impressive city views from its terrace, this restaurant on;1;Bangkok;Thailand;13.7428645;100.5476497;;French Contemporary
Côte by Mauro Colagreco;From Mauro Colagreco, the first non-French chef to earn;1;Bangkok;Thailand;13.7120458;100.5109178;;French Contemporary
Chim by Siam Wisdom;Chef Thaninthorn’s passionate take on traditional Thai cuisine balances;1;Bangkok;Thailand;13.740706;100.56789;;Thai
Aksorn;Taking Thai cookbooks from the 1940s to the 1970s as;1;Bangkok;Thailand;13.7244882;100.5162344;;Thai
80/20;When 80/20 opened, the name marked the ratio of;1;Bangkok;Thailand;13.7311121;100.5154966;;Innovative
Le Normandie;Since 1958, Le Normandie has earned a reputation as a;2;Bangkok;Thailand;13.7238479;100.5138214;;French Contemporary
Chef's Table;Start with champagne in the Pink Bar before taking your;2;Bangkok;Thailand;13.7215006;100.5171696;;French Contemporary
Sushi Masato;After honing his craft in Tokyo and building his reputation;1;Bangkok;Thailand;13.734395;100.566185;Shimizu MASATO;Sushi
Sra Bua by Kiin Kiin;Inspired by its sister restaurant, Copenhagen's Kiin Kiin, Sra;1;Bangkok;Thailand;13.7481802;100.5351564;Henrik YDE-ANDERSEN;Thai contemporary
Saawaan;‘Saawaan’ means ‘Heaven’ in Thai, which is exactly where;1;Bangkok;Thailand;13.721809;100.53741;Sujira PONGMORN;Thai contemporary
Paste;The food here is as impressive and intricate as the;1;Bangkok;Thailand;13.7451823;100.5405551;Bongkoch, Bee SATONGUN;Thai
PRU;Pru stands for ‘plant, raise, understand’ and it is this;1;Phuket;Thailand;8.0362567;98.2757375;Jimmy OPHORST;Innovative
Methavalai Sorndaeng;While live ’80s Thai music, classic décor and views of;1;Bangkok;Thailand;13.756321;100.502045;Jirawut SAPKIREE;Thai
Le Du;Using his experience from working at NYC’s Eleven Madison;1;Bangkok;Thailand;13.725005;100.52939;"""Ton,"" Thitid TASSANAKAJOHN";Thai contemporary
Canvas;Food meets art at this fine dining restaurant from Chef;1;Bangkok;Thailand;13.7288889;100.580764;Riley SANDERS;Innovative
Cadence by Dan Bark;Chef Dan’s progressive American cuisine combines Western and Asian;1;Bangkok;Thailand;13.7269292;100.5941136;Dan BARK;Innovative
Blue by Alain Ducasse;The moment it launched in 2019, Blue by Alain Ducasse;1;Bangkok;Thailand;13.7265916;100.5105619;Wilfrid HOCQUET;French Contemporary
Sühring;At Sühring, twin chefs Matthias and Thomas have created a;2;Bangkok;Thailand;13.7108084;100.5457264;Mathias SÜHRING;European Contemporary
Sorn;The team at Sorn delivers an impressive interpretation of Southern;2;Bangkok;Thailand;13.723242;100.56848;Yodkhwan U-PUMPRUK;Southern Thai
R-Haan;Inspired by an old Thai poem “Nai Nam Mi Pla;2;Bangkok;Thailand;13.731805;100.57972;Chumpol JANGPRAI;Thai
Suan Thip;Beyond the bustle of Bangkok’s busy streets, stepping into;1;Nonthaburi;Thailand;13.926962;100.502144;;Thai
Yu Ting Yuan;This lavish venue fuses classical Chinese with contemporary designs. Expansive;1;Bangkok;Thailand;13.7122414;100.510921;;Chinese
