nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
360°;This restaurant on the third floor of Limburg’s WERKStadt;1;Limburg an der Lahn;Germany;50.3844391;8.0614395;Alexander Hohlwein;Modern Cuisine
5;The tried-and-tested concept of a bar on the;1;Stuttgart;Germany;48.7800231;9.1780757;Alexander Dinter;Modern Cuisine
Agata's;It is a real pleasure to sit in the chic;1;Düsseldorf;Germany;51.2123205;6.7759356;Philipp Lange;Modern Cuisine
Alte Baiz;Grüner Wald has received a new gastronomic addition: a cosy;1;Neuhausen;Germany;48.8182854;8.7698923;Claudio Urru;Modern Cuisine
Alte Schule - Klassenzimmer;The name Klassenzimmer is the only reminder of this restaurant;1;Feldberger Seenlandschaft;Germany;53.3363358;13.5032425;Daniel Schmidthaler;Modern Cuisine
Berens am Kai;A cosy yet also elegant and modern restaurant, where everything;1;Düsseldorf;Germany;51.2152409;6.7546397;Michal Slawik;Modern Cuisine
Bieberbau;The atmosphere here is genuinely unique, not least thanks to;1;Berlin;Germany;52.4796363;13.3336378;Stephan Garkisch;Modern Cuisine
Burg Nideggen - Brockel Schlimbach;This historic, small room is really pretty with its wood;1;Nideggen;Germany;50.6886805;6.4778448;Tobias Schlimbach;Modern Cuisine
Casala;The smart, upmarket interior and sophisticated modern cuisine here are;1;Meersburg;Germany;47.6910309;9.2770749;Markus Philippi;Modern Cuisine
Christian & Friends, Tastekitchen;This pretty little townhouse located in a narrow street in;1;Fulda;Germany;50.5523614;9.676736;Christian Steska;Modern Cuisine
Elements;With its industrial-style architecture, loft feel and elegant, upmarket;1;Dresden;Germany;51.0808169;13.7608648;Stephan Mießner;Modern Cuisine
Entenstuben;Enjoy friendly, attentive service and international cuisine with a modern;1;Nuremberg;Germany;49.4536072;11.0938941;Fabian Denninger;Modern Cuisine
Friedrich Franz;The chandeliers, hand-painted silk wallpaper and sophisticated table decorations;1;Bad Doberan;Germany;54.1437795;11.8423091;Ronny Siewert;Modern Cuisine
Gabelspiel;This is a delightfully friendly restaurant: you can sense the;1;Munich;Germany;48.1136353;11.5777467;Florian Berger;Modern Cuisine
Genuss-Atelier;Housed in the cosy and intimate vaulted cellar of a;1;Dresden;Germany;51.0676539;13.7761321;Marcus Blonkowski;Modern Cuisine
Gourmet-Restaurant Der Butt;This is the place to come for modern dishes with;1;Rostock;Germany;54.1792706;12.0992138;André Münch;Modern Cuisine
Hannappel;Knut and Ulrike Hannappel's restaurant is a total departure;1;Essen;Germany;51.4370622;7.1050518;Knut Hannappel;Modern Cuisine
Historisches Gasthaus Sanct Peter Restaurant Brogsitter;Temporarily closed due to flood damage. While the restaurant harmoniously;1;Bad Neuenahr-Ahrweiler;Germany;50.5306904;7.0780869;Tobias Rocholl;Modern Cuisine
Hofstube;"In the fine dining restaurant of the lovely ""Romantic and";1;Schmallenberg;Germany;51.159252;8.340913;Felix Weber;Modern Cuisine
Huberwirt;This charming, old-established restaurant is well known for all;1;Pleiskirchen;Germany;48.3069731;12.5964184;Alexander Huber;Modern Cuisine
Johanns;Looking to combine real fine dining with designer shopping? Whether;1;Waldkirchen;Germany;48.729862;13.6007906;Michael Simon Reis;Modern Cuisine
Jungborn;This elegant restaurant with its wonderful vaulted sandstone ceiling and;1;Bad Sobernheim;Germany;49.7767707;7.6571982;Philipp Helzle;Modern Cuisine
Kaupers Restaurant im Kapellenhof;This restaurant would make a great local! Warm and welcoming;1;Selzen;Germany;49.8639732;8.2551053;Sebastian Kauper;Modern Cuisine
Koch und Kellner;"""Rejuvenated classic"" cuisine would be a fitting way to";1;Nuremberg;Germany;49.4491097;11.0568482;Gerald Hoffmann;Modern Cuisine
Kulmeck by Tom Wickboldt;Tom Wickboldt, known for The O'ROOM, now brings creative;1;Heringsdorf;Germany;53.9598339;14.1608992;Tom Wickboldt;Modern Cuisine
La Société;A place for gourmets since 1987, even if the location;1;Cologne;Germany;50.9285296;6.9372169;Leon Hofmockel;Modern Cuisine
Lakeside;Set on the seventh floor, this light and airy restaurant;1;Hamburg;Germany;53.565225;9.9980345;Julian Stowasser;Modern Cuisine
