nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Konstantin Filippou;The minimalist-style interior done out in elegant black and;2;Vienna;Austria;48.2107279;16.3797942;Konstantin Filippou;Modern Cuisine
Silvio Nickol Gourmet Restaurant;Silvio Nickol has a style all of his own that;2;Vienna;Austria;48.2058003;16.3770073;Silvio Nickol;Modern Cuisine
The Glass Garden;Schloss Mönchstein boasts a great location here: a distinctive glass;1;Salzburg;Austria;47.8039566;13.03569;Markus Mayr;Modern Cuisine
[aend];The clean and minimalist design immediately catches the eye, as;1;Vienna;Austria;48.1896429;16.3410168;Fabian Günzel;Modern Cuisine
APRON;You will find this classic yet modern restaurant not far;1;Vienna;Austria;48.199514;16.3767832;Stefan Speiser;Creative
Amador;The location of this stylish restaurant in the brick vaults;3;Vienna;Austria;48.2540114;16.3586003;Juan Amador;Creative
Edvard;The elegant fine dining restaurant of the Palais Hansen Kempinski;1;Vienna;Austria;48.2162673;16.3681893;Thomas Pedevilla;Creative
EssZimmer;Elegant but far from stiff, the Kaiblinger’s restaurant is;1;Salzburg;Austria;47.8066955;13.0341933;Andreas Kaiblinger;Creative
Ikarus;An unusual concept, the architecturally impressive Hangar-7 is both;2;Salzburg;Austria;47.7935605;13.007903;Martin Klein;Creative
Kilian Stuba;Chic and elegant design, top-notch service and technically sophisticated;1;Hirschegg;Austria;47.3486576;10.1719794;Sascha Kemmerer;Creative
Mraz & Sohn;Out here in the 20th district, one of the city;2;Vienna;Austria;48.2313246;16.3762794;Lukas Mraz;Creative
Pramerl & the Wolf;This former bar in Vienna’s 9th district is simple;1;Vienna;Austria;48.2220879;16.3648326;Wolfgang Zankl-Sertl;Creative
SENNS.Restaurant;Gusswerk – once a bell foundry – is an impressive location for;2;Salzburg;Austria;47.8360718;13.0634487;Andreas Senn;Creative
Steirereck im Stadtpark;This fine dining restaurant in the spacious Stadtpark is very;2;Vienna;Austria;48.2043967;16.3815669;Heinz Reitbauer;Creative
SHIKI;SHIKI offers fine dining Japanese-style in the heart of;1;Vienna;Austria;48.2041253;16.3710135;Alois Traint;Japanese
TIAN;The depth of flavour that you’ll find in the;1;Vienna;Austria;48.2051767;16.3745163;Paul Ivic;Vegetarian
Pfefferschiff;Standing at the gates of Salzburg, this top gourmet restaurant;1;Salzburg;Austria;47.8379197;13.0790652;Jürgen Vigné;Classic Cuisine
Walter Bauer;This listed building in the centre of the old town;1;Vienna;Austria;48.2092406;16.3768561;Mike Feierabend;Classic Cuisine
