nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Kadeau Copenhagen;This beautiful restaurant offers a memorable, multi-course dining experience;2;Copenhagen;Denmark;55.6722948;12.5888136;Nicolai Nørregaard;Modern Cuisine
Henne Kirkeby Kro;This 18C thatched inn has a contrastingly modern interior. Cooking;2;Henne;Denmark;55.7266717;8.2420292;Paul Cunningham;Classic Cuisine
Alchemist;An immersive and perfectly choreographed dining experience. The 50-course;2;Copenhagen;Denmark;55.6940951;12.6137461;Rasmus Munk;Innovative
noma;This elegant yet relaxed waterside restaurant offers a unique experience;3;Copenhagen;Denmark;55.6833118;12.6106175;René Redzepi;Creative
The Samuel;Named after the chef-owner’s first born son, this;1;Copenhagen;Denmark;55.7324289;12.5685039;Jonathan Berntsen;Creative
Substans;A light-filled restaurant with great views over the port;1;Aarhus;Denmark;56.1655264;10.2266839;René Mammen;Creative
LYST;This extraordinary building stands directly in the sea and its;1;Vejle;Denmark;55.7061145;9.5549409;Daniel McBurnie;Creative
Kadeau Bornholm;A remote beachside eatery with a relaxed atmosphere, an open;1;Åkirkeby;Denmark;55.0044064;14.9688376;Nicolai Nørregaard;Creative
KOKS;Meet at the lakeside fermenting hut for an aperitif with;2;Leynavatn;Denmark;62.13667;-7.022025;Poul Andrias Ziska;Creative
Jordnær;A sophisticated, contemporary restaurant overseen by the charming Tina, who;2;Copenhagen;Denmark;55.748181;12.5411721;Eric Kragh Vildgaard;Creative
Geranium;This luxurious restaurant is unusually located on the 8th floor;3;Copenhagen;Denmark;55.7040847;12.5725289;Rasmus Kofoed;Creative
Frederiksminde;The team at this charming restaurant are passionate about sourcing;1;Præstø;Denmark;55.1244654;12.0477692;Jonas Mikkelsen;Creative
Kong Hans Kælder;This elegant restaurant is set in an intimate, historic and;2;Copenhagen;Denmark;55.6787423;12.5839958;Mark Lundgaard;Modern French
Frederikshøj;Set in the former staff lodge to the Royal Palace;1;Aarhus;Denmark;56.124947;10.2089264;Wassim Hallal;Creative
formel B;The friendly team create a relaxed environment at this appealing;1;Copenhagen;Denmark;55.6706842;12.5355099;Kristian Arpe-Møller;Modern Cuisine
Ti Trin Ned;Elegant Ti Trin Ned offers beautiful sea views. Sourcing is;1;Fredericia;Denmark;55.5597311;9.7548686;Rainer Gassner;Modern Cuisine
Søllerød Kro;A characterful 17C thatched inn by a pond in a;1;Copenhagen;Denmark;55.8134465;12.4951512;Brian Mark Hansen;Modern Cuisine
Syttende;This restaurant is situated on the 17th floor of the;1;Sønderborg;Denmark;54.9139503;9.7833821;Jesper Koch;Modern Cuisine
Me|Mu;This brightly decorated cellar restaurant provides a stylish backdrop for;1;Vejle;Denmark;55.7088364;9.5329065;Michael Munk;Modern Cuisine
Marchal;Named after Hotel D’Angleterre’s 1755 founder, this stylish;1;Copenhagen;Denmark;55.6806399;12.584676;;Modern Cuisine
Kokkeriet;This very welcoming restaurant, once a corner shop, is intimate;1;Copenhagen;Denmark;55.6876218;12.5849852;;Modern Cuisine
Gastromé;This intimate, keenly run Latin Quarter restaurant features a semi;1;Aarhus;Denmark;56.1578088;10.2100197;William Jørgensen;Modern Cuisine
Domestic;This restaurant sets itself the challenge of using only Danish;1;Aarhus;Denmark;56.1590312;10.2118958;Morten Rastad;Modern Cuisine
Alouette;There’s an underground, rock ‘n’ roll vibe to this;1;Copenhagen;Denmark;55.6625132;12.5758339;Nick Curtin;Modern Cuisine
a|o|c;This spacious, simply decorated restaurant is housed in the vaulted;2;Copenhagen;Denmark;55.6831927;12.5889875;Søren Selin;Modern Cuisine
Dragsholm Slot Gourmet;Expect to be taken on a gastronomic journey thanks to;1;Hørve;Denmark;55.771236;11.390805;;Creative
Kiin Kiin;A charming restaurant, whose name means ‘come and eat’. Start;1;Copenhagen;Denmark;55.691889;12.5574375;Dak Laddaporn;Thai
