nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Chef's Table at Brooklyn Fare;That you have to wander the aisles of a supermarket;3;New York;United States;40.7560823;-73.9964997;Cesar Ramirez;Contemporary
Eleven Madison Park;This modern and elegant dining room displays the virtues of;3;New York;United States;40.7415543;-73.9872414;Daniel Humm;Contemporary
Le Bernardin;When the definitive history of NYC's dining scene is;3;New York;United States;40.76177;-73.98223;Eric Ripert;Seafood
Masa;To taste what may be the continent’s best sushi;3;New York;United States;40.76819;-73.98234;Takayama Masayoshi;Japanese
Aquavit;No detail goes unnoticed at this clean and contemporary Swedish;2;New York;United States;40.76078;-73.97214;Emma Bengtsson;Scandinavian
Aska;A dramatic space in a former warehouse is made even;2;New York;United States;40.7125069;-73.9669769;Fredrik Berselius;Scandinavian
Atera;"Counter dining can sometimes mean lots of elbows; fortunately, this";2;New York;United States;40.7168498;-74.0055912;Ronny Emborg;Contemporary
Atomix;The opening of Atomix in 2018 brought about a paradigm;2;New York;United States;40.7443058;-73.9826751;Rubén Hernandez Mosquero;Korean
Blanca;This gleaming kitchen for serious eaters is located deep within;2;New York;United States;40.7049906;-73.9336873;Carlo Mirarchi;Contemporary
Daniel;Everyone needs a little pomp and circumstance now and then;2;New York;United States;40.7667521;-73.9675039;Daniel Boulud;French
Gabriel Kreuther;Distinctively housed at the base of the Grace building, this;2;New York;United States;40.75397;-73.982025;Gabriel Kreuther;Contemporary
Jean-Georges;The longevity of Chef Jean-Georges Vongerichten’s flagship can;2;New York;United States;40.76907;-73.98155;Mark Lapico;Contemporary
Jungsik;The cuisine describes itself as “New Korean,” which means it;2;New York;United States;40.718685;-74.00911;Jung Sik Yim;Korean
Ko;At this hip dining room, a handsome three-sided counter;2;New York;United States;40.7246476;-73.9916056;David Chang;Contemporary
The Modern;The Modern is designed to capture the iconic feel of;2;New York;United States;40.76106;-73.97628;Thomas Allan;Contemporary
Blue Hill;Knowing when to leave something alone, whether you’re a;1;New York;United States;40.7319711;-73.9996385;Dan Barber;American
Casa Enrique;Chiapas. Puebla. San Luis Potosí. One can literally taste the;1;New York;United States;40.7434588;-73.9542808;Cosme Aguilar;Mexican
Casa Mono;There’s something reassuring about a kitchen that gets in;1;New York;United States;40.735895;-73.9873421;Andy Nusser;Spanish
Claro;Oaxaca by way of Gowanus? When it’s this seriously;1;New York;United States;40.677395;-73.98615;TJ Steele;Mexican
Contra;Minimal, industrial and in harmony with the cool neighborhood, this;1;New York;United States;40.719917;-73.98922;Jeremiah Stone;Contemporary
Cote;Korean-born Simon Kim opened Cote as a joyful celebration;1;New York;United States;40.7414233;-73.9914627;David Shim;Korean
Crown Shy;This stunning venture from Chef James Kent is set in;1;New York;United States;40.7067068;-74.0087206;James Kent;Contemporary
Estela;Housed on the second floor of a nondescript low-rise;1;New York;United States;40.72471;-73.9948;Ignacio Mattos;Contemporary
Francie;Native New Yorker Chef Chris Cipollone, who cut his teeth;1;New York;United States;40.7103459;-73.9637588;Chris Cipollone;Contemporary
Gramercy Tavern;This fabled NY icon is high on most people's;1;New York;United States;40.7387578;-73.988991;Michael Anthony;Contemporary
Hirohisa;There’s nothing like a discreet entrance to raise expectations;1;New York;United States;40.72452;-74.003006;Hirohisa Hayashi;Japanese
Jeju Noodle Bar;Named after the South Korean island that's renowned for;1;New York;United States;40.732952;-74.00744;Douglas Kim;Korean
Jua;This slim, slender, and sleek spot arrives courtesy of the;1;New York;United States;40.740014;-73.9874479;Hoyoung Kim;Korean
Kanoyama;The spotlight here is on the talented Chef Nobuyuki Shikanai;1;New York;United States;40.7306576;-73.9864662;Nobuyuki Shikanai;Japanese
Kochi;The idea that tasting menus are typically hours-long, showy;1;New York;United States;40.7620076;-73.993568;Sungchul Shim;Korean
Kosaka;Chef Yoshihiko Kousaka is in control of this beloved sushiya;1;New York;United States;40.738316;-74.00137;Yoshihiko Kousaka;Japanese
Le Coucou;Take one part Chef Daniel Rose, France’s favorite American;1;New York;United States;40.719162;-74.00001;Daniel Rose;French
Le Jardinier;Chef Alain Verzeroli, who spent just over two decades crafting;1;New York;United States;40.7579445;-73.9714729;Alain Verzeroli;French
L’Appart;Sequestered within the sprawling Le District, L'Appart is not;1;New York;United States;40.7121897;-74.0155187;Nicolas Abello;French
Marea;Gorgeous and sophisticated, Marea couldn’t really be found anywhere;1;New York;United States;40.767619;-73.9810681;Molly Nickerson;Seafood
Meadowsweet;Tucked next to the steely skeleton of the Williamsburg Bridge;1;New York;United States;40.710354;-73.96317;Polo Dobkin;Mediterranean Cuisine
Noda;Nothing says “authentic sushi” more than an elusive or, in;1;New York;United States;40.7404543;-73.9930802;Shigeyuki Tsunoda;Japanese
Oxalis;Settled merely steps away from the Brooklyn Museum, this sleek;1;New York;United States;40.6729122;-73.9627166;Nico Russell;Contemporary
Oxomoco;"Don’t let the easy-breezy vibe here&nbsp;fool you";1;New York;United States;40.7300224;-73.9555039;Emilio Cerra;Mexican
Rezdôra;If you’ve been lucky enough to sample the ethereal;1;New York;United States;40.7390046;-73.9890088;Stefano Secchi;Italian
Sushi Amane;If you’ve eaten at Mifune and wondered why you;1;New York;United States;40.7514424;-73.9717128;Tomoyuki Hayashi;Japanese
Sushi Ginza Onodera;Even in Tokyo’s smart Ginza district, sushiyas tend to;1;New York;United States;40.752396;-73.981575;Takuya Kubo;Japanese
Sushi Nakazawa;For a truly memorable sushi adventure, head to this sleek;1;New York;United States;40.731716;-74.00451;Daisuke Nakazawa;Japanese
Sushi Noz;Set on a tree-lined street in the Upper East;1;New York;United States;40.77384;-73.958275;Nozomu Abe;Japanese
Sushi Yasuda;There is a spartan appearance to this sushi temple, where;1;New York;United States;40.75108;-73.97364;Mitsuru Tamura;Japanese
The Four Horsemen;Encounter large smiles and a particularly warm and welcoming vibe;1;New York;United States;40.7129264;-73.9574999;Nick Curtola;American
The Musket Room;Mary Frances Attea is the master and commander of this;1;New York;United States;40.723915;-73.99375;Mary Frances Attea;Contemporary
The River Café;Some things in life are worth dressing up for, and;1;New York;United States;40.7034279;-73.9942984;Brad Steelman;Contemporary
Tuome;Classically trained Chef Thomas Chen is the one to thank;1;New York;United States;40.724194;-73.9828;Thomas Chen;Fusion
Vestry;Welcome to a realm of understated elegance at this ground;1;New York;United States;40.7256137;-74.0055581;Shaun Hergatt;Contemporary
Wallsé;With their roll call of “fashionable” ingredients garnered from all;1;New York;United States;40.7354574;-74.0081949;Kurt Gutenbrunner;Austrian
ZZ’s Clam Bar;If you forget about your bank statement, don’t arrive;1;New York;United States;40.727646;-74.00046;Rich TORRISI;Seafood
odo;Despite a clandestine vibe and handful of seats, this dining;1;New York;United States;40.7407048;-73.9929904;Hiroki Odo;Japanese
L'ATELIER de Joël Robuchon;The late, globally acclaimed chef, Joël Robuchon, returned his L;2;New York;United States;40.7428946;-74.0077138;;French
Per Se;An experience at Thomas Keller’s Per Se is one;3;New York;United States;40.7680545;-73.9825882;;Contemporary
Ai Fiori;Elegantly accessed by a sweeping staircase (or elevator) in the;1;New York;United States;40.75013;-73.98357;;Italian
Bâtard;239 West Broadway will be a familiar address to those;1;New York;United States;40.719616;-74.00589;;Contemporary
Carbone;With nostalgia at the forefront, Carbone is plain gorgeous. While;1;New York;United States;40.727966;-74.00017;;Italian
Caviar Russe;No playful pun, no name-check for grandma—whoever christened;1;New York;United States;40.760685;-73.97355;;Contemporary
Don Angie;This darling of a dining room is designed with elegant;1;New York;United States;40.7377741;-74.0019745;;Italian
Kajitsu;It’s the way of the modern world that we;1;New York;United States;40.7499602;-73.9781131;;Japanese
Peter Luger;More than just an icon of the NY dining scene;1;New York;United States;40.709889;-73.9625494;;Steakhouse
Tempura Matsui;If anything indicates the strength of New York City’s;1;New York;United States;40.7483542;-73.9748599;;Japanese
The Clocktower;Nothing says “Brit” like a billiards room and there’s;1;New York;United States;40.7413666;-73.9875324;;Contemporary
Tsukimi;"""Simplicity is the peak of elegance"" seems a fitting";1;New York;United States;40.7290162;-73.9852509;;Japanese
Alinea;"Chef Grant Achatz&nbsp;continues to&nbsp;burst&nbsp;with novel ideas at";3;Chicago;United States;41.9132737;-87.648174;Grant Achatz;Contemporary
Atelier Crenn;At the hands of accomplished Chef Dominique Crenn, guests have;3;San Francisco;United States;37.79835;-122.43586;Dominique Crenn;Contemporary
Benu;Benu is an oasis in the heart of the city;3;San Francisco;United States;37.78521;-122.39876;Corey Lee;Asian
Manresa;It may have a reputation for being one of the;3;Los Gatos;United States;37.22761;-121.98071;David Kinch;Contemporary
Quince;Nestled within a historic structure, an air of refinement infuses;3;San Francisco;United States;37.79762;-122.40337;Michael Tusk;Contemporary
SingleThread;Exquisite barely begins to describe a meal at this Healdsburg;3;Healdsburg;United States;38.6122599;-122.8697229;Kyle Connaughton;Contemporary
The French Laundry;Over 20 years old and topping every foodie’s bucket;3;Yountville;United States;38.40443;-122.36474;David Breeden;Contemporary
The Inn at Little Washington;Set 90 minutes from DC in a town whose very;3;Washington;United States;38.7134767;-78.1595348;Patrick O’Connell;American
Acquerello;With its air of old-world sophistication, this is the;2;San Francisco;United States;37.79167;-122.42131;Suzette Gresham;Italian
Addison;Chef William Bradley's standard-setting dining room is exceedingly;2;San Diego;United States;32.9412972;-117.1988908;William Bradley;Contemporary
