nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
1131 - Abbaye de la Bussière;The exceptional setting of a former abbey is now the;1;La Bussière-sur-Ouche;France;47.2157221;4.7241758;;Modern Cuisine
114, Faubourg;This chic brasserie within the premises of Le Bristol has;1;Paris;France;48.8717748;2.3142125;Loïc Dantec;Modern Cuisine
1741;This town house, built under the First Empire, faces the;1;Strasbourg;France;48.5806;7.7535777;;Modern Cuisine
1912 - Les Cures Marines;Abutting the casino, the former spa facilities have been resuscitated;1;Trouville-sur-Mer;France;49.3662411;0.0776574;;Modern Cuisine
Abri;Following in the footsteps of the Japanese chefs who set;1;Paris;France;48.877819;2.3492225;Katsuaki Okiyama;Modern Cuisine
Accents Table Bourse;This place close to the Bourse, run by a Japanese;1;Paris;France;48.8699134;2.3404253;Romain Mahi;Modern Cuisine
Agapé;Soft hues, a sculpture by Nathalie Decoster, and paintings by;1;Paris;France;48.885054;2.3070328;Benoît Dumas;Modern Cuisine
Alchémille;Chef Jérôme Jaegle, from Alsace, has an impressive CV – having;1;Kaysersberg;France;48.148764;7.2497298;Jérôme Jaegle;Modern Cuisine
Alliance;Alliance brings together two alumni of the restaurant Agapé Substance;1;Paris;France;48.8500098;2.3532787;Toshitaka Omiya;Modern Cuisine
Ambroisie;Large bay windows looking out onto the lake, an intimate;1;Saint-Didier-de-la-Tour;France;45.560381;5.4875038;André Taormina;Modern Cuisine
Apicius;Apicius is located in a sumptuous 18C private mansion that;1;Paris;France;48.8732881;2.3072835;Mathieu Pacaud;Modern Cuisine
Apicius;In the heart of the city, upstairs at the Saint;1;Clermont-Ferrand;France;45.7794304;3.0827294;Arkadiusz Zuchmanski;Modern Cuisine
Aspic;This bistro is everything a bistro should be. It has;1;Paris;France;48.8791753;2.3436245;Quentin Giroud;Modern Cuisine
Au 14 Février;In the heart of this romantically named town, this restaurant;1;Saint-Valentin;France;46.9516902;1.8650344;Iku Negami;Modern Cuisine
Au Gourmet;The new owner-chef, formerly of Strasbourg’s Crocodile, has;1;Drusenheim;France;48.751779;7.9475461;Ludovic Kientz;Modern Cuisine
Au Souper Fin;The name of the restaurant doesn't lie, with the;1;Frichemesnil;France;49.6225595;1.1393488;Eric Buisset;Modern Cuisine
Auberge Frankenbourg;This inn was founded at the start of the 20C;1;La Vancelle;France;48.2835117;7.3025827;Sébastien Buecher;Modern Cuisine
Auberge Pom'Poire;A great place tucked away among the pear and apple;1;Azay-le-Rideau;France;47.2830529;0.4450558;Bastien Gillet;Modern Cuisine
Auberge St-Laurent;This elegant, authentic 18C coaching inn is a local institution;1;Sierentz;France;47.6540637;7.4539991;Laurent Arbeit;Modern Cuisine
Auberge au Bœuf;You can't help but fall under the spell of;1;Sessenheim;France;48.7993778;7.9858523;Yannick Germain;Modern Cuisine
Auberge de Montfleury;The chef, a true enthusiast, serves very beautiful dishes in;1;Villeneuve-de-Berg;France;44.5636155;4.4711772;Richard Rocle;Modern Cuisine
Auberge de l'Abbaye;"A modern inn with intimate little alcoves; a single set";1;Ambronay;France;46.0073829;5.3606423;Ivan Lavaux;Modern Cuisine
Auberge de la Brie;The attractions of this charming Brie house, Michelin-starred since;1;Couilly-Pont-aux-Dames;France;48.885819;2.8561362;Alain Pavard;Modern Cuisine
Auberge de la Mine;This little corner of Normandy prospered after the discovery of;1;La Ferrière-aux-Étangs;France;48.6471975;-0.5222974;Hubert Nobis;Modern Cuisine
Auberge de la Tour;A charming stone building dating from the 17C with a;1;Marcolès;France;44.7814806;2.3518849;Renaud Darmanin;Modern Cuisine
Auberge des Templiers;Some things never go out of fashion… In a timeless;1;Boismorand;France;47.80058;2.7394904;Martin Simonart;Modern Cuisine
Auberge du Cellier;Typical of the region, this charming house is the setting;1;Montner;France;42.7490993;2.6785143;Pierre-Louis Marin;Modern Cuisine
