nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
12 Apostoli;Rooted in the Veronese flavours of his childhood, yet created;1;Verona;Italy;45.4426624;10.9960733;Mauro Buffo;Modern Cuisine
Abbruzzino;The elegant and welcoming Abbruzzino is still a good choice;1;Catanzaro;Italy;38.8901852;16.6236902;Luca Abbruzzino;Modern Cuisine
Abocar Due Cucine;"Abocar (the word is Spanish for ""to get closer"") demonstrates";1;Rimini;Italy;44.0626895;12.5663487;Mariano Guardianelli;Modern Cuisine
Al Metrò;Elegant and minimalist - style cuisine which shows real passion and;1;San Salvo Marina;Italy;42.0681488;14.7750147;Nicola Fossaceca;Modern Cuisine
All'Enoteca;Occupying the first floor of a central 19C palazzo, this;1;Canale;Italy;44.7969211;7.9931019;Davide Palluda;Modern Cuisine
Amistà;Occupying a corner of the stunning Hotel Byblos (or the;1;San Pietro in Cariano;Italy;45.48968;10.899484;Mattia Bianchi;Modern Cuisine
Angelo Sabatelli;Having recently moved to the historic centre, this chef seems;1;Putignano;Italy;40.8500527;17.1227135;Angelo Sabatelli;Modern Cuisine
Antica Osteria Nonna Rosa;The dining room at this restaurant has the warm ambience;1;Vico Equense;Italy;40.6611803;14.433489;Giuseppe Guida;Modern Cuisine
Antonello Colonna Labico;This is the sister to the restaurant of the same;1;Labico;Italy;41.78292;12.873689;Antonello Colonna;Modern Cuisine
Apostelstube;Apostelstube is the culinary laboratory of a young chef from;1;Brixen;Italy;46.7194264;11.6532447;;Modern Cuisine
Atelier;This is the first ever Michelin-starred restaurant in the;1;Domodossola;Italy;46.1153232;8.2959468;Giorgio Bartolucci;Modern Cuisine
Borgo San Jacopo;Housed in one of the most charming hotels in the;1;Florence;Italy;43.7680838;11.251472;Claudio Mengoni;Modern Cuisine
Butterfly;Terracotta and exposed beams combine to create an elegant ambience;1;Marlia;Italy;43.894723;10.5364035;Fabrizio Girasoli;Modern Cuisine
Ca' Matilde;This attractive, recently restored restaurant is functional in style with;1;Rubbianino;Italy;44.652336;10.52569;Andrea Incerti Vezzani;Modern Cuisine
Cannavacciuolo Cafè & Bistrot;This historic building, part of the Coccia theatre, now houses;1;Novara;Italy;45.4459378;8.618368;Vincenzo Manicone;Modern Cuisine
Capriccio;The experienced female owner-chef at the helm here favours;1;Manerba del Garda;Italy;45.55285;10.56121;Giuliana Germiniasi;Modern Cuisine
Caracol;The sensation at this restaurant is one of being on;1;Bacoli;Italy;40.7827339;14.0834126;Angelo Carannante;Modern Cuisine
Casa Iozzìa;This restored farmhouse with just a few tables and a;1;Vitorchiano;Italy;42.4591729;12.1636364;Lorenzo Iozzia;Modern Cuisine
Casamatta;Enjoy carefully prepared and beautifully presented dishes in a setting;1;Manduria;Italy;40.417763;17.599371;Pietro Penna;Modern Cuisine
Casin del Gamba;1992-2022: 30 consecutive years with a Michelin star deserves;1;Altissimo;Italy;45.6178;11.2615;Antonio Dal Lago;Modern Cuisine
Condividere;"""Condividere"" (the Italian word for ""to share"") is not";1;Turin;Italy;45.0802655;7.6911056;Federico Zanasi;Modern Cuisine
Contraste;Glittering red silicon chandeliers hover above diners at this restaurant;1;Milan;Italy;45.446095;9.17929;Matias Perdomo;Modern Cuisine
Coria;Named after Coria, an enthusiastic Sicilian cookery writer, this restaurant;1;Caltagirone;Italy;37.2367;14.51403;Domenico Colonnetta;Modern Cuisine
Cracco;Arranged over several floors, this restaurant, one of the most;1;Milan;Italy;45.46535;9.189977;Carlo Cracco;Modern Cuisine
D.One Restaurant;"D. One describes itself as a ""ristorante diffuso"", a concept";1;Montepagano;Italy;42.6772065;13.9897625;Davide Pezzuto;Modern Cuisine
Da Gorini;After working in several different establishments, Gianluca has now decided;1;San Piero in Bagno;Italy;43.8587914;11.9745195;Gianluca Gorini;Modern Cuisine
Dal Corsaro;For years the best restaurant in Cagliari, this sober and;1;Cagliari;Italy;39.2133915;9.1160488;Stefano Deidda;Modern Cuisine
Dolada;This restaurant is perched in a superb location on Monte;1;Pieve d'Alpago;Italy;46.1736379;12.3601001;Riccardo De Pra;Modern Cuisine
Dolce Stil Novo alla Reggia;Housed inside the Torrione del Garove, this restaurant boasts light;1;Venaria Reale;Italy;45.1351147;7.6249928;Alfredo Russo;Modern Cuisine
Dolomieu;Housed in the exclusive DV Chalet boutique hotel, Dolomieu is;1;Madonna di Campiglio;Italy;46.223693;10.8257548;Davide Rangoni;Modern Cuisine
Don Alfonso 1890 San Barbato;A grand hotel requires a big name, so it’s;1;Lavello;Italy;41.0348692;15.7714997;Donato De Leonardis;Modern Cuisine
Don Geppi;An excellent chef and maître d’ combine to provide a;1;Sant' Agnello;Italy;40.631762;14.3931433;Mario Affinita;Modern Cuisine
