nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Ajikitcho Bumbuan;Trees and moss decorate the interior for a modern design;1;Osaka;Japan;34.68307;135.501093;Bunichiro NAKATANI;Japanese
Ajikitcho Horieten;The first-generation owner-chef learned from Teiichi Yuki, who;1;Osaka;Japan;34.673651;135.494025;Ryusuke NAKATANI;Japanese
Enomoto;This restaurant was designed by a master craftsperson of sukiya;1;Osaka;Japan;34.654623;135.499245;Masaya ENOMOTO;Japanese
Higashichaya Nakamura;This restaurant is a part of the history of Kanazawa;1;Osaka;Japan;34.712103;135.506831;Manabu NAKAMURA;Japanese
Ichiju Nisai Ueno Minoten;Nestled in a beautiful natural setting, this restaurant affords views;1;Osaka;Japan;34.83902;135.470982;Norio UENO;Japanese
Iroha;You can’t go wrong with either the à la;1;Osaka;Japan;34.697842;135.495812;Masatoshi KAMOTO;Japanese
Iwaki;The owner-chef learned to take time with preparations at;1;Osaka;Japan;34.697482;135.499446;Ryoichi ENDO;Japanese
Kagaman;The main location of the Kagaman Group, which has several;1;Osaka;Japan;34.696238;135.499859;Toshimitsu FUJIWARA;Japanese
Kaishoku Shimizu;The restaurant name expresses the owner-chef’s desire that;1;Osaka;Japan;34.6957548;135.4989702;Toshihiro SHIMIZU;Japanese
Kappo Hashimoto;The menu is made up of in-season vegetables and;1;Osaka;Japan;34.711835;135.496179;Koji HASHIMOTO;Japanese
Kawahara;Owner-chef Koji Kawahara studies the old to develop the;1;Osaka;Japan;34.709936;135.500804;Koji KAWAHARA;Japanese
Konoha;This kappo restaurant is the place to enjoy kaiseki and;1;Osaka;Japan;34.682634;135.504198;Masami TANAKA;Japanese
Kyomachiryori Mitsuya;Tomonori Matsumura begins by serving fragrant ichiban-dashi. Savour the;1;Osaka;Japan;34.68746;135.495212;Tomonori MATSUMURA;Japanese
Masuda;Owner-chef Yoshichika Masuda serves original kaiseki cuisine inspired by;1;Osaka;Japan;34.673799;135.501957;Yoshichika Masuda;Japanese
Naniwaryori Yu;The owner-chef was trained by the master chef of;1;Osaka;Japan;34.6964167;135.5150144;Hideto FURUIKE;Japanese
Nishino;Owner-chef Masahiro Nishino is not one to stack his;1;Osaka;Japan;34.687804;135.495663;Masahiro NISHINO;Japanese
Nishishinsaibashi Yuno;The warm-hearted hospitality of the owner-chef who says;1;Osaka;Japan;34.6742296;135.4985887;Katsuyuki YUNO;Japanese
Nishitemma Nakamura;Owner-chef Akemi Nakamura came to Osaka from Fukuoka to;1;Osaka;Japan;34.697033;135.505243;Akemi NAKAMURA;Japanese
