nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
't Lansink;Warmth and character are the hallmarks of ’t Lansink, which;1;Hengelo;Netherlands;52.2596759;6.7823645;Lars van Galen;Modern Cuisine
't Vlasbloemeken;Your visit to ’t Vlasbloemeken promises to turn into a;1;Koewacht;Netherlands;51.2254016;3.9770577;Eric van Bochove;Modern Cuisine
Apicius;Apicius is the success story of chef Thorvald and host;1;Castricum;Netherlands;52.5589079;4.6561801;Thorvald de Winter;Modern Cuisine
Basiliek;This former Gothic chapel with its stained-glass windows and;1;Harderwijk;Netherlands;52.35128;5.62098;Rik Jansma;Modern Cuisine
Bougainville;At Bougainville a fine dining experience of the highest level;1;Amsterdam;Netherlands;52.3725511;4.8931716;Tim Golsteijn;Modern Cuisine
Cheval Blanc;The enthusiasm of the team running Cheval Blanc is contagious;1;Heemstede;Netherlands;52.3602095;4.6289256;Huub P. van der Velden;Modern Cuisine
De Burgemeester;This former town hall in picturesque Linschoten now houses an;1;Linschoten;Netherlands;52.0619466;4.9146783;Sander Spruijt;Modern Cuisine
De Nederlanden;Full of character, this former inn boasts a typical Dutch;1;Vreeland;Netherlands;52.2296936;5.0325179;Wilco Berends;Modern Cuisine
De Swarte Ruijter;This cosy and characterful thatched-roof villa located by the;1;Holten;Netherlands;52.2961278;6.4200312;Erik de Mönnink;Modern Cuisine
Eden;Eden is the playground of chef Herman Cooijmans and sommelier;1;Valkenswaard;Netherlands;51.3568295;5.4612835;Herman Cooijmans;Modern Cuisine
Flicka;Flicka is the epitome of a modern restaurant in which;1;Kerkdriel;Netherlands;51.7851017;5.3222811;Thomas Van Santvoort;Modern Cuisine
Het Koetshuis;This traditional thatched property deep in the Veluwe forest was;1;Bennekom;Netherlands;52.0084145;5.7227954;Tom Lamers;Modern Cuisine
Het Roode Koper;At Het Roode Koper, you can completely switch off. Forget;1;Leuvenum;Netherlands;52.306608;5.7131023;Dennis van den Beld;Modern Cuisine
Kasteel Heemstede;Admire the grandeur of this fully restored 17C castle as;1;Houten;Netherlands;52.0330316;5.1252355;Ollie Schuiling;Modern Cuisine
Katseveer; The Eastern Scheldt estuary unfurls all its charms in;1;Wilhelminadorp;Netherlands;51.5400135;3.8703319;Rutger van der Weel;Modern Cuisine
Latour;In this setting overlooking the beach and the North Sea;1;Noordwijk aan Zee;Netherlands;52.2415203;4.4271384;Marcel van Lier;Modern Cuisine
Marrees;Sink down into the upholstered seats, breathe in the modern;1;Weert;Netherlands;51.2510546;5.7034285;Jan Marrees;Modern Cuisine
Merlet;Merlet’s unique decor includes stunning features such as a;1;Schoorl;Netherlands;52.6998032;4.6944638;Jonathan Zandbergen;Modern Cuisine
Noble Kitchen;Resembling a UFO perched on the Bernardus golf course, this;1;Cromvoirt;Netherlands;51.6657301;5.2302915;Edwin Kats;Modern Cuisine
Posthoorn;Dinner at Posthoorn is akin to immersing yourself in years;1;Monnickendam;Netherlands;52.4609407;5.0352266;Jeroen Bavelaar;Modern Cuisine
Ratatouille Food & Wine;All is not what it seems with Jozua Jaring, a;1;Haarlem;Netherlands;52.3786385;4.6376627;Jozua Jaring;Modern Cuisine
Rijnzicht; Mike and Jim Cornelissen’s playful and innovative ideas;1;Doornenburg;Netherlands;51.8902472;6.0226879;Jim Cornelissen;Modern Cuisine
Sinne;Alexander Ioannou brings East and West together by adding spice;1;Amsterdam;Netherlands;52.3530586;4.8942525;Alexander Ioannou;Modern Cuisine
The Millèn;The Millennium Tower is a Rotterdam landmark and, thanks to;1;Rotterdam;Netherlands;51.9226379;4.4714977;Wim Severein;Modern Cuisine
Tilia;Chef Carlo Chantrel and maître d’/sommelier Mariëlle Vink made;1;Etten-Leur;Netherlands;51.5699578;4.6354469;Carlo Chantrel;Modern Cuisine
't Amsterdammertje;If you’re a fan of hip, vibrant and trendy;1;Loenen aan de Vecht;Netherlands;52.2098585;5.0216548;André Gerrits;Creative
Beluga Loves You;Beluga Loves You is increasingly influenced by Hans van Wolde;1;Maastricht;Netherlands;50.8462005;5.6990715;Servais Tielman;Creative
