nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
HÈlËne Darroze at The Connaught;Every restaurant needs reinvention from time to time and the;3;London;United Kingdom;51.510188;-0.1492905;HÈlËne Darroze;Modern Cuisine
Kitchen Table;Start with a drink in the bar before taking your;2;London;United Kingdom;51.5203616;-0.13647;James Knappett;Modern Cuisine
Story;The setting ñ on an island in the middle of two;2;London;United Kingdom;51.5028085;-0.077787;Tom Sellers;Modern Cuisine
Casa Fof≈ç;Italian chef Adolfo de Cecco eats, sleeps and breathes his;1;London;United Kingdom;51.5499681;-0.0641532;Adolfo De Cecco;Modern Cuisine
City Social;The buzz from the bar is the first thing you;1;London;United Kingdom;51.5151615;-0.0840542;Dan Birk;Modern Cuisine
Dysart Petersham;Built in the early 1900s as part of the Arts;1;London;United Kingdom;51.4463415;-0.3002761;Kenneth Culhane;Modern Cuisine
Evelyn's Table;Peek behind a curtain and head down a narrow staircase;1;London;United Kingdom;51.5111217;-0.1326731;;Modern Cuisine
Five Fields;Over the years this charming Chelsea restaurant has built up;1;London;United Kingdom;51.4917208;-0.1612878;Taylor Bonnyman;Modern Cuisine
Frog by Adam Handling;The Frog is a restaurant that keeps up with the;1;London;United Kingdom;51.5106776;-0.1218804;;Modern Cuisine
Kitchen W8;Kitchen W8 is a joint venture between experienced restaurateurs Rebecca;1;London;United Kingdom;51.4990858;-0.1969096;Mark Kempson;Modern Cuisine
Marcus;"Within the Berkeley hotel sits Marcus Wareingís flagship; a";1;London;United Kingdom;51.5018508;-0.1560845;Marcus Wareing;Modern Cuisine
Pollen Street Social;Jason Athertonís empire now covers the globe but Mayfair;1;London;United Kingdom;51.5134222;-0.1423163;Jason Atherton;Modern Cuisine
Portland;The cooking at Portland respects the principles of sourcing and;1;London;United Kingdom;51.5198009;-0.1427082;;Modern Cuisine
Seven Park Place;Having been extended and enlarged, Seven Park Place may no;1;London;United Kingdom;51.5061901;-0.1402288;William Drabble;Modern Cuisine
The Glasshouse;Everyone deserves a neighbourhood restaurant like the lucky residents of;1;London;United Kingdom;51.4770687;-0.2857459;Greg Wellman;Modern Cuisine
Trinity;The joy of genuine neighbourhood restaurants is that customers are;1;London;United Kingdom;51.4635167;-0.14151;Adam Byatt;Modern Cuisine
Trivet;The two owners of Trivet ñ both alumni of The Fat;1;London;United Kingdom;51.502205;-0.084674;;Modern Cuisine
Da Terra;Da Terra sits within an impressive Victorian hotel and, in;2;London;United Kingdom;51.530411;-0.05607;Rafael Cagali;Creative
Ikoyi;In a city of innovation, Ikoyi is a true original;2;London;United Kingdom;51.5091612;-0.1334203;Jeremy Chan;Creative
Muse;2020 saw chef Tom Aikens re-enter the fray with;1;London;United Kingdom;51.4994673;-0.1509184;Tom Aikens;Creative
Pied ‡ Terre;Over the last quarter of a century, few London streets;1;London;United Kingdom;51.5191109;-0.1352265;Asimakis Chaniotis;Creative
Sollip;Flying somewhat under the radar and concealed down a little;1;London;United Kingdom;51.5025583;-0.0846577;;Creative
The Clove Club;It's the balance and the variety of the set;2;London;United Kingdom;51.5271054;-0.0793371;Isaac McHale;Creative
Alain Ducasse at The Dorchester;Coco Chanel once opined that ìLuxury must be comfortable, otherwise;3;London;United Kingdom;51.5073381;-0.152575;Jean-Philippe Blondet;French
CORE by Clare Smyth;Itís not just the food that makes a restaurant;3;London;United Kingdom;51.5126689;-0.2030649;Clare Smyth MBE;Modern British
Restaurant Gordon Ramsay;He may be one of the most famous chefs on;3;London;United Kingdom;51.4854381;-0.1621766;Matt AbÈ;French
Sketch (The Lecture Room & Library);There are few more joyously colourful and lavishly decorated restaurants;3;London;United Kingdom;51.5126775;-0.1415369;Pierre Gagnaire;Modern French
A. Wong;Andrew Wongís inspiration comes from his travels through the;2;London;United Kingdom;51.4930091;-0.1406558;Andrew Wong;Chinese
Claude Bosi at Bibendum;Bibendum sits on the first floor of the historic art;2;London;United Kingdom;51.4933623;-0.1688013;Claude Bosi;French
La Dame de Pic London;Anne-Sophie Picís London outpost is a charmingly run;2;London;United Kingdom;51.5101629;-0.0779535;Marc Mantovani;Modern French
Le Gavroche;Le Gavrocheís longevity is legendary. Opened in 1967, this;2;London;United Kingdom;51.5112997;-0.1552575;Michel Roux Jnr;French
Amaya;Unlike it's contemporaries, this modern Indian restaurant delivers a;1;London;United Kingdom;51.4991357;-0.1572179;Sanchit Kapoor;Indian
Angler;As the restaurantís name suggests, fish is the mainstay;1;London;United Kingdom;51.5189674;-0.086521;Gary Foulkes;Seafood
