nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
ABaC;Discover the unique culinary vision of the bold, media-friendly;3;Barcelona;Spain;41.4103822;2.1367664;Jordi Cruz Mas;Creative
Abantal;Andalucian cuisine with a cutting edge. Individual personality shines through;1;Seville;Spain;37.3878998;-5.9836581;Julio Fernández Quintero;Creative
Akela?e;A renowned restaurant boasting an impressive design and stunning sea;3;Donostia / San Sebastián;Spain;43.3027805;-2.0731493;Pedro Subijana Reza;Creative
Alevante;A meticulous decor, maritime - inspired designer detail and professionalism are;1;Novo Sancti Petri;Spain;36.346905;-6.1641536;Hector Sanchez Ferrero;Creative
Amelia by Paulo Airaudo;A personal restaurant with a difference located along the Playa;2;Donostia / San Sebastián;Spain;43.3168594;-1.9859469;Paulo Airaudo;Creative
Andreu Genestra;Discover the authentic flavours of the island in this restaurant;1;Capdepera;Spain;39.7134139;3.4286962;Andreu Genestra Garcia;Creative
Aponiente;Immerse yourself in the fantasy culinary world of Ángel León;3;El Puerto de Santa María;Spain;36.6033273;-6.2164435;Ángel León González;Creative
Arzak;This famous restaurant occupies a large house over a century;3;Donostia / San Sebastián;Spain;43.3214016;-1.9490932;Juan Mari Arzak Arratibel;Creative
Atrio;A temple of gastronomy with a strong focus on detail;2;Cáceres;Spain;39.4730183;-6.3713456;Toño Pérez;Creative
Audrey's;This bright, elegant and modern hotel within the AR Diamante;1;Calp;Spain;38.6501744;0.072623;Rafael Soler Ataner;Creative
Azurmendi;This restaurant is located in the heart of the countryside;3;Larrabetzu;Spain;43.26065;-2.81454;Eneko Atxa Azurmendi;Creative
Bardal;Taking its name from a thorny bush, Bardal boasts a;2;Ronda;Spain;36.7417236;-5.1664877;Benito Gómez Becerra;Creative
Bo.TiC;Behind the attractive garden, which provides access to the restaurant;2;Corçà;Spain;41.9878977;3.0160382;Albert Sastregener Surroca;Creative
BonAmb;A rite of passage in the Marina Alta where local;2;Xàbia;Spain;38.7701412;0.148496;Alberto Ferruz Moraleda;Creative
Ca l'Enric;A property of strong contrasts and undeniable personality whose leitmotif;1;La Vall de Bianya;Spain;42.2217505;2.4401289;Jordi Juncà Monteis;Creative
Cabaña Buenavista;Enjoy fine dining in a verdant setting in this delightful;2;El Palmar;Spain;37.92464;-1.163767;Pablo Gonzalez-Conejero Hilla;Creative
Caelis;Elegant, contemporary and with an open kitchen surrounded by a;1;Barcelona;Spain;41.387015;2.1743763;Romain Fornell;Creative
Cal Paradís;Cal Paradís boasts a long family history and continues to;1;Vall d'Alba;Spain;40.1767144;-0.0339761;Miguel Barrera Barrachina;Creative
Callizo;A gastronomic experience in the true sense of the word;1;Ainsa;Spain;42.4176644;0.1381766;Josetxo Souto;Creative
Cancook;Located next to the Estadio de La Romareda, this restaurant;1;Saragossa;Spain;41.6344366;-0.9044313;Ramcés González Méndez;Creative
Casa Marcial;It was in this delightful mansion, hidden amid green meadows;2;La Salgar;Spain;43.4183926;-5.1928818;Nacho Manzano Sánchez;Creative
Casa Pepa;An iconic address in the gastronomy of the Marina Alta;1;Ondara;Spain;38.818996;0.007204;Aina Serra Pedros;Creative
Cebo;A meticulously appointed modern space with a hint of designer;1;Madrid;Spain;40.416502;-3.6987651;Aurelio Morales;Creative
Choco;This local restaurant has been renovated in a style that;1;Córdoba;Spain;37.8850096;-4.7623009;Kisko García González;Creative
Cinc Sentits;Under the baton of chef Jordi Artal, prepare yourself for;2;Barcelona;Spain;41.3784999;2.1521767;Jordi Artal Patnaik;Creative
Cocina Hermanos Torres;The most personal offering to date from the Torres twins;2;Barcelona;Spain;41.3865273;2.1400168;Javier y Sergio Torres Martínez;Creative
Coque;The cuisine proposed by the Sandoval brothers (Mario, Diego and;2;Madrid;Spain;40.430643;-3.690676;Mario Sandoval;Creative
Culler de Pau;Culler de Pau’s standout features are its clever culinary;2;O Grove;Spain;42.4752854;-8.8957637;Javier Olleros Rodríguez;Creative
DSTAgE;This restaurant has an urban and industrial look and a;2;Madrid;Spain;40.4246847;-3.6962925;Diego Guerrero;Creative
Deessa;Luxury, distinction and exclusivity encapsulate the essence of award-winning;1;Madrid;Spain;40.4158561;-3.6928119;Ricard Tobella;Creative
Deliranto;If you’re looking for a unique dining experience it;1;Salou;Spain;41.0767612;1.1325604;Josep Moreno Martin;Creative
Disfrutar;Creativity, high technical skill, fantasy and good taste are the;2;Barcelona;Spain;41.3879756;2.1530369;Oriol Castro;Creative
DiverXO;Forget all your preconceived ideas about food and open up;3;Madrid;Spain;40.4582913;-3.6856715;David Muñoz Rosillo;Creative
El Celler de Can Roca;The three Roca brothers at the helm (Joan runs the;3;Girona;Spain;41.9932026;2.807927;Joan Roca i Fontané;Creative
El Corral del Indianu;A restaurant with one rustic yet contemporary dining room and;1;Arriondas;Spain;43.3902522;-5.1842735;José Antonio Campoviejo;Creative
El Molino de Urdániz;This attractive stone - built property along the main road close;2;Urdaitz;Spain;42.909132;-1.533913;David Yárnoz Martín;Creative
El Poblet;A contemporary-style restaurant which, despite its close ties with;2;Valencia;Spain;39.469784;-0.3745175;Luis Valls Rozalen;Creative
El Portal de Echaurren;A standard-bearer for the cuisine of the Rioja region;2;Ezcaray;Spain;42.3257846;-3.0144146;Francis Paniego Sánchez;Creative
El Rincón de Juan Carlos;Discover the highly surprising cuisine of the Padrón brothers at;1;Adeje;Spain;28.1018325;-16.7535126;;Creative
El Xato;A family restaurant with over 100 years of history, dating;1;la Nucía;Spain;38.6172486;-0.123197;Cristina Figueira Blanco;Creative
Eneko;Located above the Gorka Izagirre bodega, Eneko occupies the space;1;Larrabetzu;Spain;43.26056;-2.8142767;Iker Barrenetxea Arando;Creative
Es Fum;This superb restaurant is considered to be one of the;1;Palmanova;Spain;39.5280896;2.550836;Miguel Navarro Darias;Creative
Es Tragón;A pleasant restaurant occupying a villa-style property that provides;1;Sant Antoni de Portmany;Spain;38.9967311;1.2867365;Álvaro Sanz Clavijo;Creative
Espacio N;In Espacio N, which shares its roof space with a;1;Esquedas;Spain;42.2117392;-0.5474034;Eduardo Salanova;Creative
Etxanobe Atelier;A contemporary restaurant which is both intimate and elegant, where;1;Bilbao;Spain;43.2653543;-2.9314328;Fernando Canales Etxanobe;Creative
Hisop;Because of its size, this restaurant named after an aromatic;1;Barcelona;Spain;41.3944279;2.1480369;Oriol Ivern;Creative
Ikaro;Run by Iñaki and Carolina, a couple who, having met;1;Logrono;Spain;42.4643127;-2.4482165;Iñaki Murua;Creative
José Carlos García;This restaurant is situated in a commercial area opposite Muelle;1;Malaga;Spain;36.71685;-4.4130483;José Carlos García Ortiz;Creative
L'Escaleta;A tranquil family-run restaurant in a superb setting on;2;Cocentaina;Spain;38.7570756;-0.4451945;Kiko Moya Redrado;Creative
La Aquarela;In its somewhat unusual location in an apartment complex, La;1;Arguineguín;Spain;27.7744701;-15.6930938;German Ortega Monserrat;Creative
La Biblioteca;This restaurant in the Hotel Alma Pamplona is run by;1;Pamplona;Spain;42.8194415;-1.6235713;Leandro Gil;Creative
La Boscana;This magnificent restaurant occupies an enclosed farmhouse on the outskirts;1;Bellvís;Spain;41.66112;0.8093196;Joël Castanyé Daniel;Creative
La Cuina de Can Simón;This restaurant is located alongside the town’s impressive medieval;1;Tossa de Mar;Spain;41.7165634;2.9324298;Xavier Lores Gelpi;Creative
La Finca;An attractive country restaurant surrounded by a garden - cum - terrace;1;Elche;Spain;38.2558416;-0.6492128;Susi Díaz Ros;Creative
La Lobita;This well - respected restaurant has raised the use of mushrooms;1;Navaleno;Spain;41.8367514;-3.0064064;Elena Lucas Gonzalo;Creative
La Salita;Occupying a building in the city’s Ruzafa district, La;1;Valencia;Spain;39.4623668;-0.3696366;Begoña Rodrigo de Jorge;Creative
Lasarte;This impeccable contemporary-style restaurant is constantly changing and has;3;Barcelona;Spain;41.3936278;2.1622018;Paolo Casagrande;Creative
Les Cols;The perfect fusion between tradition and modernity, Les Cols occupies;2;Olot;Spain;42.1946503;2.5009;Fina Puigdevall Nogareda;Creative
M.B;Magnificent in every respect, the cuisine at this restaurant is;2;Guía de Isora;Spain;28.171041;-16.799017;Erlantz Gorostiza;Creative
Maca de Castro;A gastronomic restaurant in every sense of the word, occupying;1;Port d'Alcúdia;Spain;39.8343;3.11829;Macarena De Castro Martín;Creative
Maralba;A tranquil and elegant restaurant with a striking glass-fronted;2;Almansa;Spain;38.8696375;-1.0910555;Fran Martínez García;Creative
Marqués de Riscal;Design, design, design! Beneath the magnificent high - ceilinged dining room;1;Elciego;Spain;42.5115422;-2.6176801;Silvia Garcia;Creative
Martín Berasategui;Through his passion, humility and virtuosity, this renowned chef considers;3;Lasarte - Oria;Spain;43.2664755;-2.0152402;Martín Berasategui Olazábal;Creative
Maruja Limón;This restaurant is located opposite Vigo’s sailing club, the;1;Vigo;Spain;42.2404552;-8.7238918;Rafael Centeno Móyer;Creative
Ment by Óscar Calleja;Located within the walls of the Grand Hotel Don Gregorio;1;Salamanca;Spain;40.9604246;-5.664287;Óscar Calleja Orallo;Creative
Messina;Accompanied by his wife, who is in charge of the;1;Marbella;Spain;36.5084597;-4.8806499;Mauricio Giovanini;Creative
Mina;Facing the estuary, this restaurant owes its name to the;1;Bilbao;Spain;43.2550491;-2.9248606;Álvaro Garrido Ramirez;Creative
Mirador de Ulía;A unique restaurant boasting an outstanding location and fabulous views;1;Donostia / San Sebastián;Spain;43.3280079;-1.965735;Ruben Trincado;Creative
Miramar;The Miramar enjoys an excellent location on Llançà’s seafront;2;Llançà;Spain;42.3710822;3.1601265;Paco Pérez;Creative
Moments;Accessed via the hotel lobby, Moments stands out for its;2;Barcelona;Spain;41.3911693;2.1664829;Raül Balam Ruscalleda;Creative
Mugaritz;The Mugaritz occupies an old country house. It has a;2;Errenteria;Spain;43.2722067;-1.9171152;Andoni Luis Aduriz;Creative
Nerua Guggenheim Bilbao;This restaurant is inside the Guggenheim, but with its own;1;Bilbao;Spain;43.268822;-2.9330304;Josean Martínez Alija;Creative
Noor;Although located away from Córdoba’s historic centre, Noor is;2;Córdoba;Spain;37.8897516;-4.7583913;Paco Morales García;Creative
Nub;Through their menus (one of which is vegetarian), the tandem;1;Adeje;Spain;28.0938735;-16.7414175;Andrea Bernardi;Creative
Paco Roncero;This unique restaurant is accessed via an impressive 19C staircase;2;Madrid;Spain;40.4176733;-3.7002477;Paco Roncero;Creative
Pepe Vieira;This restaurant with an avant - garde design is a reference;1;Serpe;Spain;42.40942;-8.75447;Xosé Torres Cannas;Creative
Poemas by Hermanos Padrón;A unique culinary experience overseen by the award-winning Padrón;1;Las Palmas de Gran Canaria;Spain;28.1211968;-15.4272769;Iciar Pérez;Creative
Quatre Molins;Discover the young, fresh and creative cuisine of Rafel Muria;1;Cornudella de Montsant;Spain;41.2645582;0.904766;Rafel Muria;Creative
Quique Dacosta;A delightful Mediterranean villa with an avant - garde design. It;3;Dénia;Spain;38.8537884;0.0852209;Quique Dacosta Vadillo;Creative
Ramón Freixa Madrid;A magical contradiction between traditional and cutting-edge cuisine is;2;Madrid;Spain;40.4284323;-3.6861735;Ramón Freixa Riera;Creative
Raíces-Carlos Maldonado;Spontaneous, talkative, humble, hardworking and creative… chef Carlos Maldonado successfully;1;Talavera de la Reina;Spain;39.9565163;-4.8321518;Carlos Maldonado Pinel;Creative
Raúl Resino;Talent, hard work and creativity are to the fore in;1;Benicarló;Spain;40.4221851;0.4293978;Raúl Resino Olivares;Creative
Refectorio;This restaurant enjoys a superb setting, adding a touch of;1;Sardón de Duero;Spain;41.6156187;-4.4106521;Marc Segarra Sauné;Creative
Ricard Camarena;Art and gastronomy have always formed a perfect tandem to;2;Valencia;Spain;39.48512;-0.3852003;Ricard Camarena Ivards;Creative
Riff;A centrally located and meticulously appointed restaurant with a studied;1;Valencia;Spain;39.4657836;-0.3684603;Bernd Horst Knöller;Creative
Solla;A reference for fine Galician cooking occupying an old country;1;San Salvador de Poio;Spain;42.4334655;-8.6686035;Pepe Solla;Creative
Sollo;"Through his tasting menu, Diego Gallegos, the so - called ""caviar";1;Fuengirola;Spain;36.5809892;-4.5956774;Diego Gallegos de Souza Campos;Creative
Taller;Located at the prestigious Arzuaga bodega, this restaurant with its;1;Quintanilla de Onésimo;Spain;41.6280676;-4.3237821;Víctor Manuel Gutierrez Vallés;Creative
Tatau;If you’re looking for a gastro-bar with a;1;Huesca;Spain;42.1385333;-0.4085046;Tonino Valiente Llorens;Creative
Villa Retiro;This restaurant occupies the former stables of a property that;1;Xerta;Spain;40.9116908;0.4898701;Fran López Gilabert;Creative
Víctor Gutiérrez;The bright and spacious interior is embellished with a number;1;Salamanca;Spain;40.9630387;-5.6703452;Víctor Manuel Gutierrez Vallés;Creative
