id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
7QIqhSCOYBFgXB0W8RCW0w,maría-trifulca-sevilla,María Trifulca,https://s3-media2.fl.yelpcdn.com/bphoto/uFS9FQpizMeTuCqBlkejfA/o.jpg,False,https://www.yelp.com/biz/mar%C3%ADa-trifulca-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,13,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.0,"{'latitude': 37.3856532745196, 'longitude': -6.00283497350475}",[],€€€,"{'address1': 'Puente de Triana, s/n', 'address2': '', 'address3': None, 'city': 'Seville', 'zip_code': '41010', 'country': 'ES', 'state': 'SE', 'display_address': ['Puente de Triana, s/n', '41010 Seville', 'Spain']}",+34954330347,+34 954 33 03 47,670.5695026724372
KTXttaYPA5UAY9JXmVZ59Q,mario-sevilla,Mario,https://s3-media3.fl.yelpcdn.com/bphoto/fEvALtrYOhqbNEAfM40jGA/o.jpg,False,https://www.yelp.com/biz/mario-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,1,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 37.3861084, 'longitude': -5.9869399}",[],,"{'address1': 'Calle Santa María La Blanca, 15', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41004', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Santa María La Blanca, 15', '41004 Seville', 'Spain']}",+34954416775,+34 954 41 67 75,912.5570880113352
QtxBF4rpruYkj1IC1tEuQQ,maria-soria-summers-sevilla,Maria Soria Summers,,False,https://www.yelp.com/biz/maria-soria-summers-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,1,[],5.0,"{'latitude': 37.3882688, 'longitude': -5.9714212}",[],,"{'address1': 'Calle Muñoz Seca 12', 'address2': None, 'address3': None, 'city': 'Seville', 'zip_code': '41007', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Muñoz Seca 12', '41007 Seville', 'Spain']}",+34607661622,+34 607 66 16 22,2285.8363169395866
pDRzv7JMReMebhFpiQDlLQ,casa-del-tesorero-sevilla,Casa del Tesorero,https://s3-media2.fl.yelpcdn.com/bphoto/6WSlwsVHBkcMRrAHJ6fHdg/o.jpg,False,https://www.yelp.com/biz/casa-del-tesorero-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,30,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,"{'latitude': 37.3835287, 'longitude': -5.9945043}",[],€€,"{'address1': 'Calle Santander, 1', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41001', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Santander, 1', '41001 Seville', 'Spain']}",+34954503921,+34 954 50 39 21,188.56553456099448
oev3kfRt11-UbPCCh-oUcw,milonguitas-sevilla,Milonguitas,https://s3-media2.fl.yelpcdn.com/bphoto/HSEN6mtRYKjWv4ztKb-bdw/o.jpg,False,https://www.yelp.com/biz/milonguitas-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,43,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 37.38508273458, 'longitude': -5.99468}",[],€€,"{'address1': 'Calle Tomas de Ibarra, 2', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41001', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Tomas de Ibarra, 2', '41001 Seville', 'Spain']}",+34954210954,+34 954 21 09 54,310.56086854210326
Yu5-_UJtcX1OfDjTyyHPag,la-azotea-sevilla-5,La Azotea,https://s3-media2.fl.yelpcdn.com/bphoto/Q8Ui8UuSEkqu_uKvYd7RrA/o.jpg,False,https://www.yelp.com/biz/la-azotea-sevilla-5?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,68,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.0,"{'latitude': 37.3860121, 'longitude': -5.9913356}",[],€€,"{'address1': 'Calle Mateos Gago, 8', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41004', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Mateos Gago, 8', '41004 Seville', 'Spain']}",+34954215878,+34 954 21 58 78,579.2791651976678
8MQY_3BpBm_99u8sUIgctg,la-raza-sevilla,La Raza,https://s3-media4.fl.yelpcdn.com/bphoto/vIIsDXaUhndFZn0UU1GsfA/o.jpg,False,https://www.yelp.com/biz/la-raza-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,29,"[{'alias': 'spanish', 'title': 'Spanish'}]",3.0,"{'latitude': 37.3782923, 'longitude': -5.9889443}",[],€€,"{'address1': 'Avenida de Isabel La Católica, 2', 'address2': None, 'address3': None, 'city': 'Seville', 'zip_code': '41013', 'country': 'ES', 'state': 'SE', 'display_address': ['Avenida de Isabel La Católica, 2', '41013 Seville', 'Spain']}",+34954232024,+34 954 23 20 24,735.7010328500526
onfnGBNOsEIDkIAky33P4Q,plato-plató-sevilla,Plato Plató,https://s3-media3.fl.yelpcdn.com/bphoto/ekGEXgJTDkEucBl2xI3FLg/o.jpg,False,https://www.yelp.com/biz/plato-plat%C3%B3-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,33,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.5,"{'latitude': 37.3718384581372, 'longitude': -5.98442238222755}",[],€€,"{'address1': 'Calle Progreso, 27', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41013', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Progreso, 27', '41013 Seville', 'Spain']}",+34955384450,+34 955 38 44 50,1591.0900093917837
RbCHd_7r33ybxdOIHMdt-w,churrería-maría-sevilla-2,Churrería María,https://s3-media1.fl.yelpcdn.com/bphoto/k2Cm5EngxXknbbd0cs3VlQ/o.jpg,False,https://www.yelp.com/biz/churrer%C3%ADa-mar%C3%ADa-sevilla-2?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,2,"[{'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",4.0,"{'latitude': 37.3857498, 'longitude': -5.98701}",[],,"{'address1': 'Calle Cano y Cueto, 7', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41004', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Cano y Cueto, 7', '41004 Seville', 'Spain']}",+34954412256,+34 954 41 22 56,892.5198043030175
Dyz3EOseG4bgci8yeIXrGg,el-rinconcillo-sevilla,El Rinconcillo,https://s3-media2.fl.yelpcdn.com/bphoto/sdkTVI5JvFpYHIsXyZhfMA/o.jpg,False,https://www.yelp.com/biz/el-rinconcillo-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,146,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'andalusian', 'title': 'Andalusian'}]",4.0,"{'latitude': 37.3935224, 'longitude': -5.98849899999996}",[],€€,"{'address1': 'Calle Gerona, 40', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41003', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Gerona, 40', '41003 Seville', 'Spain']}",+34954223183,+34 954 22 31 83,1396.0075417176333
P_S0LyVnAyiNCD3aGWEiyw,bar-17-doña-maría-sevilla,Bar 17 Doña María,https://s3-media2.fl.yelpcdn.com/bphoto/unbKZzJy_qYHPCUak5QLNA/o.jpg,False,https://www.yelp.com/biz/bar-17-do%C3%B1a-mar%C3%ADa-sevilla?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,5,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 37.386386, 'longitude': -5.991649}",[],€€€,"{'address1': 'Calle Don Remondo, 17', 'address2': None, 'address3': None, 'city': 'Seville', 'zip_code': '41001', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Don Remondo, 17', '41001 Seville', 'Spain']}",+34954224990,+34 954 22 49 90,587.6778677550076
AseVlLNTSi9D1zNG8wUy1w,santa-maría-sevilla-3,Santa María,https://s3-media2.fl.yelpcdn.com/bphoto/33UxIbfRaXiJXW60KrYBvw/o.jpg,False,https://www.yelp.com/biz/santa-mar%C3%ADa-sevilla-3?adjust_creative=k2879mFN9gfjtT8M8xHW3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=k2879mFN9gfjtT8M8xHW3Q,6,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",4.0,"{'latitude': 37.3758698, 'longitude': -5.996635}",[],,"{'address1': 'Calle Montecarmelo, 43', 'address2': '', 'address3': '', 'city': 'Seville', 'zip_code': '41011', 'country': 'ES', 'state': 'SE', 'display_address': ['Calle Montecarmelo, 43', '41011 Seville', 'Spain']}",+34954271120,+34 954 27 11 20,749.39938644722
